animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R011,2023-09-02,Rig19,140.0,1,11:29:14,2.15,65.12,0.74,0.0,-0.20999999999999996,374.0,AB,0.0,0.0,3.6512,11.22,-7.568800000000001
R011,2023-09-03,Rig19,112.0,1,11:24:00,2.18,51.38,0.86,0.01,-0.12,376.0,AB,0.0,0.0,3.216,11.28,-8.064
R011,2023-09-04,Rig19,90.0,1,11:27:00,2.19,41.1,0.85,0.01,0.08000000000000007,375.0,ER,0.0,0.0,2.5568,11.25,-8.693200000000001
R011,2023-09-05,Rig19,167.0,1,11:27:38,2.35,71.06,0.7999999999999999,0.03,-0.039999999999999925,380.0,KO,0.0,0.0,5.58,11.4,-5.82
R011,2023-09-06,Rig19,173.0,1,11:37:19,2.13,81.22,0.9199999999999999,0.029999999999999995,-0.05999999999999994,380.0,KO,0.0,0.0,6.34,11.4,-5.0600000000000005
R011,2023-09-07,Rig19,183.0,1,11:33:02,2.27,80.62,0.84,0.02,0.12000000000000001,380.0,AB,0.0,0.0,6.388,11.4,-5.0120000000000005
R011,2023-09-08,Rig19,230.0,1,11:33:19,2.27,101.32,0.94,0.020000000000000004,0.019999999999999907,384.0,KO,0.0,0.0,8.672,11.52,-2.847999999999999
R011,2023-09-09,Rig19,160.0,1,11:31:10,2.2,72.73,0.95,0.08,0.08999999999999997,385.0,AB,0.0,0.0,5.656,11.55,-5.894000000000001
R011,2023-09-10,Rig19,149.0,1,11:24:29,2.2,67.73,0.9400000000000001,0.07,0.029999999999999916,385.0,AB,0.0,0.0,5.296,11.55,-6.2540000000000004
R011,2023-09-11,Rig19,173.0,1,11:44:16,1.9,91.05,0.97,0.14,0.010000000000000009,385.0,ER,0.0,0.0,5.792,11.55,-5.758000000000001
R011,2023-09-12,Rig19,237.0,1,11:28:37,2.37,100.0,0.97,0.16,0.020000000000000014,388.0,KO,0.0,0.0,7.752,11.64,-3.888000000000001
R011,2023-09-13,Rig19,149.0,1,11:32:40,2.43,61.32,0.9800000000000001,0.1,0.0,390.0,KO,0.0,0.0,5.3,11.7,-6.3999999999999995
R011,2023-09-14,Rig19,149.0,1,11:44:05,2.37,62.87,0.97,0.08,0.040000000000000036,391.0,KO,0.0,0.0,5.392,11.73,-6.338
R011,2023-09-15,Rig19,290.0,1,11:36:28,2.44,118.85,0.96,0.12,-0.030000000000000027,391.0,KO,0.0,0.0,9.96,11.73,-1.7699999999999996
R011,2023-09-16,Rig19,278.0,1,11:30:33,2.02,137.62,0.9899999999999999,0.05,0.0,391.0,AB,0.0,0.0,10.544,11.73,-1.186
R011,2023-09-17,,,0,,0.0,,,,,390.0,AB,0.0,0.0,0.0,11.7,-11.7
R011,2023-09-18,Rig19,263.0,1,11:35:24,2.05,128.29,0.99,0.06,0.010000000000000009,396.0,ER,0.0,0.0,9.824,11.88,-2.056000000000001
R011,2023-09-19,Rig19,269.0,1,11:53:15,1.99,135.18,0.99,0.11,0.0,398.0,KO,0.0,0.0,9.528,11.94,-2.411999999999999
R011,2023-09-20,Rig19,71.0,1,11:41:00,1.96,36.22,0.9900000000000001,0.96,-0.9900000000000001,400.0,KO,0.0,0.0,0.12,12.0,-11.88
R011,2023-09-21,Rig19,306.0,1,11:21:01,2.5,122.4,0.97,0.05,0.0,404.0,KO,0.0,0.0,11.388,12.12,-0.7319999999999993
R011,2023-09-22,Rig19,309.0,1,11:34:25,2.2,140.45,0.59,0.05,-0.040000000000000036,406.0,KO,0.0,0.0,8.36,12.18,-3.8200000000000003
R011,2023-09-23,Rig19,314.0,1,11:27:46,2.13,147.42,0.53,0.04,0.06999999999999995,407.0,AB,0.0,0.0,7.768,12.21,-4.442000000000001
R011,2023-09-24,Rig19,330.0,1,11:28:03,2.11,156.4,0.49,0.030000000000000002,-0.04999999999999999,409.0,AB,0.0,0.0,7.868,12.27,-4.401999999999999
R011,2023-09-26,Rig19,383.0,1,11:23:12,2.4,159.58,0.49,0.05,0.040000000000000036,410.0,KO,0.0,0.0,8.96,12.3,-3.34
R012,2023-09-02,Rig21,258.0,1,11:32:59,2.1,122.86,0.87,0.03,0.14,336.0,AB,0.0,0.0,5.6975,10.08,-4.3825
R012,2023-09-03,Rig21,202.0,1,11:27:12,2.12,95.28,0.82,0.01,0.26,341.0,AB,0.0,0.0,4.345,10.23,-5.885000000000001
R012,2023-09-04,Rig21,241.0,1,11:28:37,2.19,110.05,0.87,0.03,0.20999999999999996,342.0,ER,0.0,0.0,5.3075,10.26,-4.9525
R012,2023-09-05,Rig21,246.0,1,11:32:39,2.29,107.42,0.85,0.03,0.19999999999999996,344.0,KO,0.0,0.0,5.3275,10.32,-4.992500000000001
R012,2023-09-06,Rig21,172.0,1,11:37:16,2.14,80.37,0.8800000000000001,0.02,0.12000000000000001,348.0,KO,0.0,0.0,4.698,10.44,-5.741999999999999
R012,2023-09-07,Rig21,206.0,1,11:38:51,2.18,94.5,0.74,0.0,0.08000000000000007,345.0,AB,0.0,0.0,5.0535,10.35,-5.2965
R012,2023-09-08,Rig21,254.0,1,11:39:30,2.14,118.69,0.88,0.01,0.08000000000000007,348.0,KO,0.0,0.0,7.0765,10.44,-3.3634999999999993
R012,2023-09-09,Rig21,145.0,1,11:34:26,2.14,67.76,0.9399999999999998,0.0,0.010000000000000009,352.0,AB,0.0,0.0,4.177,10.56,-6.383000000000001
R012,2023-09-10,Rig21,181.0,1,11:27:14,2.17,83.41,0.93,0.03,0.04999999999999993,349.0,AB,0.0,0.0,5.027,10.47,-5.4430000000000005
R012,2023-09-11,Rig21,224.0,1,11:45:53,1.89,118.52,0.9,0.02,0.0,352.0,ER,0.0,0.0,6.2115,10.56,-4.3485000000000005
R012,2023-09-12,Rig21,315.0,1,11:34:41,2.27,138.77,0.92,0.03,0.0,353.0,KO,0.0,0.0,8.6695,10.59,-1.9205000000000005
R012,2023-09-13,Rig21,206.0,1,11:36:05,2.35,87.66,0.45,0.1,-0.48,353.0,KO,0.0,0.0,3.127,10.59,-7.463
R012,2023-09-14,Rig21,268.0,1,11:50:46,2.28,117.54,0.86,0.07,0.17999999999999994,352.0,KO,0.0,0.0,6.786,10.56,-3.774000000000001
R012,2023-09-15,Rig21,324.0,1,11:41:14,2.41,134.44,0.9500000000000001,0.049999999999999996,0.059999999999999935,354.0,KO,0.0,0.0,8.934,10.62,-1.686
R012,2023-09-16,Rig21,261.0,1,11:32:59,1.98,131.82,0.93,0.02,0.09999999999999998,354.0,AB,0.0,0.0,7.353,10.62,-3.2669999999999995
R012,2023-09-17,,,0,,0.0,,,,,356.0,AB,0.0,0.0,0.0,10.68,-10.68
R012,2023-09-18,Rig21,288.0,1,11:37:31,2.0,144.0,0.89,0.07,0.16000000000000003,357.0,ER,0.0,0.0,7.431,10.71,-3.279000000000001
R012,2023-09-19,Rig21,275.0,1,11:54:16,1.97,139.59,0.97,0.08,0.040000000000000036,363.0,KO,0.0,0.0,7.422,10.89,-3.468000000000001
R012,2023-09-20,Rig21,284.0,1,11:40:59,1.99,142.71,0.98,0.06,0.020000000000000018,364.0,KO,0.0,0.0,7.935,10.92,-2.9850000000000003
R012,2023-09-21,Rig21,307.0,1,11:28:39,2.4,127.92,0.9599999999999999,0.05,0.05999999999999995,367.0,KO,0.0,0.0,8.547,11.01,-2.462999999999999
R012,2023-09-22,Rig21,301.0,1,11:27:04,2.32,129.74,0.99,0.04,0.0,368.0,KO,0.0,0.0,8.679,11.04,-2.360999999999999
R012,2023-09-23,Rig21,242.0,1,11:38:15,1.98,122.22,0.89,0.03,0.16000000000000003,370.0,AB,0.0,0.0,6.474,11.1,-4.6259999999999994
R012,2023-09-24,Rig21,242.0,1,11:33:15,2.02,119.8,0.9899999999999999,0.07,0.010000000000000009,372.0,AB,0.0,0.0,6.708,11.16,-4.452
R012,2023-09-26,Rig21,319.0,1,11:28:53,2.4,132.92,0.92,0.05,0.10999999999999999,378.0,KO,0.0,0.0,8.637,11.34,-2.7029999999999994
R013,2023-09-02,Rig26,105.0,1,11:33:19,2.1,50.0,0.6599999999999999,0.1,0.31999999999999995,363.0,AB,0.0,0.0,2.355,10.89,-8.535
R013,2023-09-03,Rig26,136.0,1,11:27:04,2.13,63.85,0.68,0.1,0.04999999999999993,360.0,AB,0.0,0.0,2.94,10.8,-7.860000000000001
R013,2023-09-04,Rig26,118.0,1,11:28:45,2.19,53.88,0.59,0.24,0.10999999999999999,364.0,ER,0.0,0.0,1.98,10.92,-8.94
R013,2023-09-05,Rig26,244.0,1,11:34:25,1.94,125.77,0.55,0.15,-0.05999999999999994,364.0,KO,0.0,0.0,4.87,10.92,-6.05
R013,2023-09-06,Rig26,225.0,1,11:35:50,2.17,103.69,0.58,0.08,-0.12,364.0,KO,0.0,0.0,5.19,10.92,-5.7299999999999995
R013,2023-09-07,Rig26,231.0,1,11:38:23,2.2,105.0,0.63,0.07,-0.01000000000000001,369.0,AB,0.0,0.0,5.7,11.07,-5.37
R013,2023-09-08,Rig26,176.0,1,11:39:36,2.12,83.02,0.64,0.09,0.020000000000000018,368.0,KO,0.0,0.0,4.37,11.04,-6.669999999999999
R013,2023-09-09,Rig26,206.0,1,11:34:11,2.16,95.37,0.64,0.07,-0.020000000000000018,368.0,AB,0.0,0.0,5.225,11.04,-5.8149999999999995
R013,2023-09-10,Rig26,173.0,1,11:27:06,2.17,79.72,0.61,0.09,-0.050000000000000044,370.0,AB,0.0,0.0,4.085,11.1,-7.015
R013,2023-09-11,Rig26,229.0,1,11:46:02,1.9,120.53,0.6,0.07,0.06000000000000005,369.0,ER,0.0,0.0,5.671,11.07,-5.399
R013,2023-09-12,Rig26,307.0,1,11:34:06,2.29,134.06,0.68,0.05,0.039999999999999925,373.0,KO,0.0,0.0,9.0575,11.19,-2.1325000000000003
R013,2023-09-13,Rig26,251.0,1,11:36:27,2.34,107.26,0.71,0.05,0.02000000000000002,374.0,KO,0.0,0.0,7.8235,11.22,-3.3965000000000005
R013,2023-09-14,Rig26,168.0,1,11:50:19,2.31,72.73,0.59,0.34,-0.10999999999999999,377.0,KO,0.0,0.0,2.9825,11.31,-8.3275
R013,2023-09-15,Rig26,339.0,1,11:40:35,2.41,140.66,0.57,0.04,-0.12,373.0,KO,0.0,0.0,8.741,11.19,-2.449
