trial,animal_id,date,sess_id,result,hits,violations,temperror,hit_rate,error_rate,violation_rate,temp_error_rate,n_lpokes,n_cpokes,n_rpokes,trial_dur,valid_early_spoke,first_spoke,first_lpoke,first_rpoke,stage,sides,SMA_set,is_match,sa,sb,stimuli_on,settling_in_dur,legal_cbreak_dur,pre_dur,adj_pre_dur,stimulus_dur,delay_dur,post_dur,sb_extra_dur,viol_off_dur,pre_go_dur,inter_trial_dur,go_type,go_dur,give_type_set,give_type_imp,give_frac,give_delay_dur,give_light_dur,give_use,replay_on,timeouts,water_delivered,give_water_not_drunk,crash_hist,l_water_vol,r_water_vol,ab_l_prob,ab_r_prob,ab_beta,ab_tau,sound_pair,exp_del_tau,exp_del_min,exp_del_max
1,R610,2023-04-13,911939,6,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.043700000000001,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09,0.1,0.1,0.05,0.0,0.1,0.45,3.0,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
2,R610,2023-04-13,911939,6,,,,,,,,1.0,0.0,0.0,54.00029999999998,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.45,45.99802337165559,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,0.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
3,R610,2023-04-13,911939,1,1,0,0,,,,,8.0,0.0,10.0,39.43000000000001,False,l,2.713800000000049,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,34.61878225107704,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
4,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,6.0,7.0,3.0,46.60809999999998,False,l,3.1146000000000527,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,41.39608845540075,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
5,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,43.36319999999995,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,35.31947787561629,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
6,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,8.0,13.0,6.0,33.60410000000002,False,l,1.1055999999999813,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,30.359731051862468,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
7,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,1.0,7.0,46.086599999999976,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,38.04290226719429,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
8,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,54.98400000000004,False,l,1.4564000000000306,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,51.38883836086224,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
9,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50.519199999999955,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,42.475502311085044,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
10,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,14.0,1.0,4.0,52.51729999999998,False,l,4.139800000000037,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,46.23874789638937,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
11,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,3.0,1.0,1.0,40.42700000000002,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,32.38329057530405,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
12,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,54.327499999999986,False,l,7.744500000000016,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,44.48562715060079,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
13,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,6.0,1.0,3.0,44.849699999999984,False,l,2.2309000000000196,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,40.52144363535098,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
14,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,48.56290000000001,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,40.51920558627401,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
15,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,1.0,4.0,2.0,51.599500000000035,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,43.59724407536889,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,0.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
16,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.67859999999996,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,32.63490878654983,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
17,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,6.0,1.0,14.0,46.77019999999993,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,38.76790435402162,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,0.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
18,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,5.0,1.0,1.0,47.372100000000046,False,l,,,1.0,l,spoke,True,3.0,3.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,39.32840550260647,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"3.0, 3.0",,,
19,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.711700000000064,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,41.667991773354146,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
20,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,2.0,2.0,1.0,47.753099999999904,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,39.75082940301013,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,0.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
21,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,4.0,7.0,7.0,56.134399999999914,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,48.09066789785506,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
22,R610,2023-04-13,911939,6,,,,1.0,0.0,0.0,0.0,0.0,2.0,2.0,49.54130000000009,False,l,,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,41.49761719173689,none,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,False,,6.0,True,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
23,R610,2023-04-13,911939,1,1,0,0,1.0,0.0,0.0,0.0,9.0,0.0,3.0,46.38719999999989,False,l,1.6131000000000313,,1.0,l,spoke,True,12.0,12.0,True,0.01,0.05,0.1,0.09000000000000001,0.1,0.1,0.1,0.0,0.1,0.5,42.635348325220825,none,0.2,water_and_light,light,1.0,0.001,0.0,True,False,,20.0,False,False,20.0,20.0,1.0,0.0,0.0,30.0,"12.0, 12.0",,,
