mass,weighing,date,ratname,tech,timeval
,1077880,2022-07-08,R500,FW,0 days 16:49:47
,1077881,2022-07-08,R501,FW,0 days 16:49:47
,1077882,2022-07-08,R502,FW,0 days 16:49:47
,1077883,2022-07-08,R503,FW,0 days 16:49:47
,1077884,2022-07-08,R600,FW,0 days 16:49:47
23.28,1078543,2022-07-11,R501,JW,0 days 15:10:23
24.53,1078544,2022-07-11,R503,JW,0 days 15:11:13
22.81,1078545,2022-07-11,R502,JW,0 days 15:11:41
25.23,1078546,2022-07-11,R500,JW,0 days 15:12:24
17.54,1078548,2022-07-11,R600,JW,0 days 15:20:55
19.11,1078762,2022-07-12,R600,JW,0 days 09:43:17
23.64,1078766,2022-07-12,R503,JW,0 days 09:46:53
23.71,1078767,2022-07-12,R501,JW,0 days 09:47:33
23.19,1078768,2022-07-12,R502,JW,0 days 09:47:54
25.51,1078769,2022-07-12,R500,JW,0 days 09:48:10
23.91,1078996,2022-07-13,R501,JW,0 days 10:22:59
23.87,1078997,2022-07-13,R503,JW,0 days 10:23:27
26.01,1078998,2022-07-13,R500,JW,0 days 10:23:47
23.39,1078999,2022-07-13,R502,JW,0 days 10:24:07
18.67,1079008,2022-07-13,R600,JW,0 days 10:29:42
26.88,1079437,2022-07-15,R500,JL,0 days 13:26:42
24.83,1079439,2022-07-15,R501,JL,0 days 13:27:25
23.74,1079440,2022-07-15,R502,JL,0 days 13:28:03
24.14,1079441,2022-07-15,R503,JL,0 days 13:28:51
19.05,1079452,2022-07-15,R600,JL,0 days 13:40:51
19.12,1079651,2022-07-16,R600,JW,0 days 09:32:26
26.01,1079662,2022-07-16,R500,JW,0 days 09:37:31
23.23,1079664,2022-07-16,R502,JW,0 days 09:38:10
24.99,1079665,2022-07-16,R501,JW,0 days 09:38:56
24.08,1079666,2022-07-16,R503,JW,0 days 09:39:07
19.14,1079860,2022-07-17,R600,JW,0 days 09:06:45
25.21,1079880,2022-07-17,R501,JW,0 days 09:15:48
24.35,1079881,2022-07-17,R503,JW,0 days 09:16:11
26.11,1079882,2022-07-17,R500,JW,0 days 09:16:34
23.40,1079883,2022-07-17,R502,JW,0 days 09:16:44
16.77,1080018,2022-07-18,R600,JW,0 days 12:29:36
21.13,1080024,2022-07-18,R502,JW,0 days 12:33:27
24.15,1080026,2022-07-18,R500,JW,0 days 12:34:04
22.31,1080028,2022-07-18,R503,JW,0 days 12:34:41
22.67,1080030,2022-07-18,R501,JW,0 days 12:35:11
17.40,1080241,2022-07-19,R600,JW,0 days 10:09:22
24.36,1080251,2022-07-19,R500,JW,0 days 10:48:39
22.24,1080252,2022-07-19,R501,JW,0 days 10:52:31
21.87,1080254,2022-07-19,R502,JW,0 days 10:57:28
21.58,1080265,2022-07-19,R503,JW,0 days 11:39:14
17.91,1080455,2022-07-20,R600,JL,0 days 08:56:18
23.12,1080459,2022-07-20,R501,JL,0 days 09:03:10
21.99,1080460,2022-07-20,R502,JL,0 days 09:03:49
22.48,1080463,2022-07-20,R503,JL,0 days 09:04:41
24.66,1080464,2022-07-20,R500,JL,0 days 09:06:17
18.11,1080669,2022-07-21,R600,JL,0 days 09:25:30
23.15,1080673,2022-07-21,R501,JL,0 days 09:33:10
22.27,1080674,2022-07-21,R502,JL,0 days 09:33:33
22.94,1080676,2022-07-21,R503,JL,0 days 09:34:07
24.87,1080677,2022-07-21,R500,JL,0 days 09:34:53
21.73,1080879,2022-07-22,R502,JL,0 days 09:02:25
22.53,1080881,2022-07-22,R501,JL,0 days 09:03:47
23.94,1080883,2022-07-22,R500,JL,0 days 09:05:03
22.85,1080884,2022-07-22,R503,JL,0 days 09:06:00
17.58,1080894,2022-07-22,R600,JL,0 days 09:13:23
24.07,1081069,2022-07-23,R500,ER,0 days 09:20:56
23.13,1081071,2022-07-23,R501,ER,0 days 09:22:13
23.53,1081073,2022-07-23,R503,ER,0 days 09:23:12
21.95,1081074,2022-07-23,R502,ER,0 days 09:24:13
17.88,1081076,2022-07-23,R600,ER,0 days 09:44:05
22.74,1081177,2022-07-24,R500,ER,0 days 09:20:00
21.20,1081179,2022-07-24,R502,ER,0 days 09:20:38
22.10,1081181,2022-07-24,R501,ER,0 days 09:21:53
22.21,1081183,2022-07-24,R503,ER,0 days 09:22:31
17.81,1081184,2022-07-24,R600,ER,0 days 09:26:30
21.90,1081337,2022-07-25,R501,ER,0 days 09:36:44
22.49,1081338,2022-07-25,R500,ER,0 days 09:37:04
21.91,1081339,2022-07-25,R503,ER,0 days 09:39:05
20.49,1081341,2022-07-25,R502,ER,0 days 09:39:46
17.70,1081343,2022-07-25,R600,ER,0 days 09:45:25
22.61,1081498,2022-07-26,R500,JY,0 days 10:46:11
21.67,1081499,2022-07-26,R501,JY,0 days 10:47:39
22.16,1081500,2022-07-26,R503,JY,0 days 10:49:06
20.01,1081502,2022-07-26,R502,JY,0 days 10:52:16
17.91,1081506,2022-07-26,R600,JY,0 days 12:13:50
22.30,1081660,2022-07-27,R501,ER,0 days 09:09:22
21.10,1081662,2022-07-27,R502,ER,0 days 09:10:20
22.42,1081663,2022-07-27,R503,ER,0 days 09:10:59
22.84,1081664,2022-07-27,R500,ER,0 days 09:11:49
17.69,1081665,2022-07-27,R600,ER,0 days 10:48:48
17.73,1081675,2022-07-28,R600,JY,0 days 10:25:00
22.61,1081683,2022-07-28,R500,JY,0 days 10:34:08
22.33,1081684,2022-07-28,R503,JY,0 days 10:54:05
21.76,1081686,2022-07-28,R501,JY,0 days 10:55:20
20.79,1081687,2022-07-28,R502,JY,0 days 10:57:09
21.71,1081875,2022-07-29,R501,JY,0 days 10:15:34
20.56,1081876,2022-07-29,R502,JY,0 days 10:17:03
22.64,1081877,2022-07-29,R500,JY,0 days 10:18:32
22.66,1081879,2022-07-29,R503,JY,0 days 10:20:11
18.48,1081882,2022-07-29,R600,JY,0 days 11:45:20
22.39,1082072,2022-07-30,R503,ER,0 days 09:47:30
20.33,1082073,2022-07-30,R502,ER,0 days 09:47:44
21.99,1082074,2022-07-30,R501,ER,0 days 09:49:09
23.01,1082075,2022-07-30,R500,ER,0 days 09:50:00
17.54,1082079,2022-07-30,R600,ER,0 days 11:01:25
21.82,1082274,2022-07-31,R501,ER,0 days 09:34:07
22.24,1082275,2022-07-31,R503,ER,0 days 09:35:10
20.30,1082276,2022-07-31,R502,ER,0 days 09:36:14
22.80,1082277,2022-07-31,R500,ER,0 days 09:36:58
17.20,1082280,2022-07-31,R600,ER,0 days 10:49:06
22.00,1082473,2022-08-01,R503,ER,0 days 09:37:27
20.24,1082474,2022-08-01,R502,ER,0 days 09:38:09
21.40,1082475,2022-08-01,R501,ER,0 days 09:38:56
22.47,1082476,2022-08-01,R500,ER,0 days 09:39:55
16.97,1082479,2022-08-01,R600,ER,0 days 11:23:32
21.29,1082671,2022-08-02,R501,ER,0 days 09:58:37
22.31,1082672,2022-08-02,R503,ER,0 days 09:59:45
22.39,1082673,2022-08-02,R500,ER,0 days 10:00:49
20.24,1082674,2022-08-02,R502,ER,0 days 10:02:04
16.69,1082675,2022-08-02,R600,ER,0 days 11:07:42
22.48,1082868,2022-08-03,R503,ER,0 days 07:57:17
22.69,1082869,2022-08-03,R500,ER,0 days 07:58:06
20.26,1082870,2022-08-03,R502,ER,0 days 07:58:53
21.74,1082872,2022-08-03,R501,ER,0 days 08:00:04
16.92,1082873,2022-08-03,R600,ER,0 days 09:00:40
20.37,1083067,2022-08-04,R502,JY,0 days 10:31:07
22.31,1083068,2022-08-04,R503,JY,0 days 10:32:15
21.62,1083069,2022-08-04,R501,JY,0 days 10:33:16
22.44,1083070,2022-08-04,R500,JY,0 days 10:34:43
16.91,1083073,2022-08-04,R600,JY,0 days 11:48:37
21.60,1083263,2022-08-05,R501,JY,0 days 10:36:35
22.33,1083264,2022-08-05,R503,JY,0 days 10:37:53
22.60,1083265,2022-08-05,R500,JY,0 days 10:39:57
20.37,1083266,2022-08-05,R502,JY,0 days 10:42:09
17.12,1083268,2022-08-05,R600,JY,0 days 11:56:03
22.63,1083459,2022-08-06,R500,ER,0 days 08:16:33
22.68,1083460,2022-08-06,R503,ER,0 days 08:17:24
22.10,1083462,2022-08-06,R501,ER,0 days 08:18:28
20.65,1083463,2022-08-06,R502,ER,0 days 08:19:48
17.47,1083467,2022-08-06,R600,ER,0 days 09:31:30
22.90,1083660,2022-08-07,R500,ER,0 days 08:02:13
20.67,1083661,2022-08-07,R502,ER,0 days 08:02:53
22.69,1083662,2022-08-07,R503,ER,0 days 08:03:47
22.43,1083663,2022-08-07,R501,ER,0 days 08:04:30
17.63,1083665,2022-08-07,R600,ER,0 days 09:15:48
20.80,1083954,2022-08-08,R502,ER,0 days 08:07:01
22.78,1083955,2022-08-08,R503,ER,0 days 08:07:44
22.98,1083956,2022-08-08,R500,ER,0 days 08:08:34
22.67,1083957,2022-08-08,R501,ER,0 days 08:09:31
17.90,1083993,2022-08-08,R600,ER,0 days 09:19:35
20.91,1084192,2022-08-09,R502,JL,0 days 09:04:48
23.10,1084193,2022-08-09,R503,JL,0 days 09:05:57
22.63,1084194,2022-08-09,R501,JL,0 days 09:06:38
22.99,1084195,2022-08-09,R500,JL,0 days 09:07:31
18.32,1084198,2022-08-09,R600,JL,0 days 10:12:04
22.61,1084392,2022-08-10,R501,JL,0 days 08:40:44
23.30,1084393,2022-08-10,R500,JL,0 days 08:41:25
21.18,1084394,2022-08-10,R502,JL,0 days 08:42:09
23.68,1084396,2022-08-10,R503,JL,0 days 08:43:08
18.65,1084398,2022-08-10,R600,JL,0 days 09:48:26
22.30,1084577,2022-08-11,R501,JL,0 days 08:22:55
21.10,1084578,2022-08-11,R502,JL,0 days 08:23:35
23.60,1084579,2022-08-11,R503,JL,0 days 08:24:26
23.40,1084580,2022-08-11,R500,JL,0 days 08:24:56
18.30,1084603,2022-08-11,R600,JL,0 days 09:32:11
22.24,1084797,2022-08-12,R501,JL,0 days 08:38:26
23.47,1084798,2022-08-12,R500,JL,0 days 08:39:09
23.66,1084799,2022-08-12,R503,JL,0 days 08:40:27
21.07,1084800,2022-08-12,R502,JL,0 days 08:41:01
18.16,1084802,2022-08-12,R600,JL,0 days 09:46:36
22.18,1084976,2022-08-13,R501,ER,0 days 08:08:17
23.39,1084977,2022-08-13,R500,ER,0 days 08:09:25
23.54,1084978,2022-08-13,R503,ER,0 days 08:10:31
20.74,1084979,2022-08-13,R502,ER,0 days 08:11:40
18.18,1085002,2022-08-13,R600,ER,0 days 09:20:51
20.80,1085171,2022-08-14,R502,ER,0 days 08:35:23
23.65,1085172,2022-08-14,R500,ER,0 days 08:36:08
22.31,1085173,2022-08-14,R501,ER,0 days 08:36:56
23.87,1085174,2022-08-14,R503,ER,0 days 08:37:54
18.33,1085176,2022-08-14,R600,ER,0 days 08:39:12
18.24,1085386,2022-08-15,R600,JB,0 days 09:10:19
23.91,1085391,2022-08-15,R503,JB,0 days 09:23:36
23.95,1085392,2022-08-15,R500,JB,0 days 09:24:57
22.46,1085393,2022-08-15,R501,JB,0 days 09:26:00
20.83,1085394,2022-08-15,R502,JB,0 days 09:27:46
23.59,1085582,2022-08-16,R500,JL,0 days 08:22:33
22.66,1085583,2022-08-16,R501,JL,0 days 08:23:20
23.57,1085584,2022-08-16,R503,JL,0 days 08:24:05
21.16,1085585,2022-08-16,R502,JL,0 days 08:25:15
17.99,1085586,2022-08-16,R600,JL,0 days 09:31:24
22.32,1085780,2022-08-17,R501,JL,0 days 08:57:22
20.84,1085781,2022-08-17,R502,JL,0 days 08:58:24
23.72,1085782,2022-08-17,R500,JL,0 days 08:59:01
23.81,1085783,2022-08-17,R503,JL,0 days 08:59:50
17.74,1085785,2022-08-17,R600,JL,0 days 10:16:33
20.51,1085975,2022-08-18,R502,JL,0 days 09:10:48
21.80,1085977,2022-08-18,R501,JL,0 days 09:11:35
24.06,1085978,2022-08-18,R503,JL,0 days 09:12:38
24.01,1085979,2022-08-18,R500,JL,0 days 09:13:46
17.99,1085981,2022-08-18,R600,JL,0 days 10:25:42
21.34,1086180,2022-08-19,R501,JL,0 days 09:10:24
20.64,1086181,2022-08-19,R502,JL,0 days 09:11:18
23.62,1086182,2022-08-19,R500,JL,0 days 09:12:03
23.68,1086183,2022-08-19,R503,JL,0 days 09:12:25
18.16,1086186,2022-08-19,R600,JL,0 days 10:22:25
20.95,1086388,2022-08-20,R501,ER,0 days 09:09:21
20.53,1086389,2022-08-20,R502,ER,0 days 09:10:55
23.55,1086390,2022-08-20,R503,ER,0 days 09:12:03
22.94,1086392,2022-08-20,R500,ER,0 days 10:31:06
17.81,1086394,2022-08-20,R600,ER,0 days 10:36:15
20.73,1086560,2022-08-21,R501,ER,0 days 07:51:10
20.70,1086561,2022-08-21,R502,ER,0 days 07:53:13
23.65,1086562,2022-08-21,R503,ER,0 days 07:54:08
22.66,1086580,2022-08-21,R500,ER,0 days 08:59:56
17.78,1086582,2022-08-21,R600,ER,0 days 09:03:48
20.55,1086755,2022-08-22,R501,ER,0 days 07:56:19
23.31,1086756,2022-08-22,R503,ER,0 days 07:57:25
20.55,1086757,2022-08-22,R502,ER,0 days 07:58:44
22.31,1086762,2022-08-22,R500,ER,0 days 09:06:23
17.75,1086767,2022-08-22,R600,ER,0 days 09:07:54
20.49,1086964,2022-08-23,R501,JL,0 days 08:13:36
23.13,1086965,2022-08-23,R503,JL,0 days 08:14:24
20.90,1086966,2022-08-23,R502,JL,0 days 08:15:29
22.30,1086967,2022-08-23,R500,JL,0 days 08:16:11
17.89,1086970,2022-08-23,R600,JL,0 days 09:21:56
20.87,1087146,2022-08-24,R501,JY,0 days 11:32:24
21.27,1087147,2022-08-24,R502,JY,0 days 11:33:50
23.44,1087148,2022-08-24,R503,JY,0 days 11:35:52
23.44,1087149,2022-08-24,R500,JY,0 days 12:50:07
17.77,1087151,2022-08-24,R600,JY,0 days 12:55:25
20.58,1087343,2022-08-25,R501,JL,0 days 08:20:40
20.72,1087345,2022-08-25,R502,JL,0 days 08:21:39
23.20,1087346,2022-08-25,R503,JL,0 days 08:22:28
22.50,1087348,2022-08-25,R500,JL,0 days 08:23:16
17.83,1087350,2022-08-25,R600,JL,0 days 09:29:59
20.60,1087539,2022-08-26,R501,JL,0 days 08:33:29
22.90,1087540,2022-08-26,R503,JL,0 days 08:34:12
20.80,1087541,2022-08-26,R502,JL,0 days 08:34:51
22.75,1087542,2022-08-26,R500,JL,0 days 08:35:36
17.81,1087544,2022-08-26,R600,JL,0 days 09:41:11
22.79,1087719,2022-08-27,R503,ER,0 days 08:20:48
20.62,1087720,2022-08-27,R501,ER,0 days 08:21:34
20.81,1087721,2022-08-27,R502,ER,0 days 08:22:43
22.58,1087737,2022-08-27,R500,ER,0 days 09:30:13
17.80,1087739,2022-08-27,R600,ER,0 days 09:32:27
20.73,1087908,2022-08-28,R501,ER,0 days 07:51:29
22.80,1087909,2022-08-28,R503,ER,0 days 07:52:54
20.67,1087910,2022-08-28,R502,ER,0 days 07:53:51
22.66,1087911,2022-08-28,R500,ER,0 days 09:01:06
17.90,1087912,2022-08-28,R600,ER,0 days 09:02:12
20.64,1088101,2022-08-29,R501,ER,0 days 07:48:57
22.80,1088102,2022-08-29,R503,ER,0 days 07:50:35
20.53,1088103,2022-08-29,R502,ER,0 days 07:51:30
22.99,1088104,2022-08-29,R500,ER,0 days 08:59:32
17.78,1088105,2022-08-29,R600,ER,0 days 09:00:42
20.69,1088309,2022-08-30,R502,JL,0 days 08:09:17
22.61,1088310,2022-08-30,R503,JL,0 days 08:10:33
