mass,weighing,date,ratname,tech,timeval
,1077895,2022-07-08,Y500,FW,0 days 16:49:47
,1077896,2022-07-08,Y501,FW,0 days 16:49:47
,1077897,2022-07-08,Y502,FW,0 days 16:49:47
,1077898,2022-07-08,Y503,FW,0 days 16:49:47
20.82,1078539,2022-07-11,Y501,JW,0 days 15:07:09
22.86,1078540,2022-07-11,Y500,JW,0 days 15:07:48
23.63,1078541,2022-07-11,Y503,JW,0 days 15:08:19
25.60,1078542,2022-07-11,Y502,JW,0 days 15:08:55
18.63,1078549,2022-07-11,Y600,JW,0 days 15:21:28
19.19,1078764,2022-07-12,Y600,JW,0 days 09:43:49
25.97,1078775,2022-07-12,Y502,JW,0 days 09:50:18
24.40,1078777,2022-07-12,Y503,JW,0 days 09:51:04
21.56,1078779,2022-07-12,Y501,JW,0 days 09:51:54
23.51,1078781,2022-07-12,Y500,JW,0 days 09:52:29
23.20,1079000,2022-07-13,Y500,JW,0 days 10:25:53
21.03,1079002,2022-07-13,Y501,JW,0 days 10:26:23
26.04,1079003,2022-07-13,Y502,JW,0 days 10:26:40
24.12,1079004,2022-07-13,Y503,JW,0 days 10:27:01
19.21,1079009,2022-07-13,Y600,JW,0 days 10:30:03
24.00,1079443,2022-07-15,Y500,JL,0 days 13:31:39
26.33,1079444,2022-07-15,Y502,JL,0 days 13:33:10
21.76,1079446,2022-07-15,Y501,JL,0 days 13:34:24
24.50,1079447,2022-07-15,Y503,JL,0 days 13:35:58
19.33,1079450,2022-07-15,Y600,JL,0 days 13:40:02
19.26,1079652,2022-07-16,Y600,JW,0 days 09:32:42
24.65,1079674,2022-07-16,Y503,JW,0 days 09:43:01
23.83,1079676,2022-07-16,Y500,JW,0 days 09:43:28
26.49,1079677,2022-07-16,Y502,JW,0 days 09:44:11
21.87,1079678,2022-07-16,Y501,JW,0 days 09:44:31
19.54,1079861,2022-07-17,Y600,JW,0 days 09:07:03
24.41,1079862,2022-07-17,Y503,JW,0 days 09:08:35
23.89,1079863,2022-07-17,Y500,JW,0 days 09:08:53
21.43,1079865,2022-07-17,Y501,JW,0 days 09:09:35
26.68,1079866,2022-07-17,Y502,JW,0 days 09:10:03
17.65,1080022,2022-07-18,Y600,JW,0 days 12:30:56
21.13,1080032,2022-07-18,Y500,JW,0 days 12:36:51
21.48,1080034,2022-07-18,Y503,JW,0 days 12:37:29
24.15,1080036,2022-07-18,Y502,JW,0 days 12:38:03
19.11,1080038,2022-07-18,Y501,JW,0 days 12:38:36
17.97,1080243,2022-07-19,Y600,JW,0 days 10:09:49
24.38,1080245,2022-07-19,Y502,JW,0 days 10:20:37
21.52,1080246,2022-07-19,Y500,JW,0 days 10:22:09
22.59,1080248,2022-07-19,Y503,JW,0 days 10:23:49
19.90,1080250,2022-07-19,Y501,JW,0 days 10:24:56
18.48,1080457,2022-07-20,Y600,JL,0 days 09:00:36
23.99,1080465,2022-07-20,Y502,JL,0 days 09:07:42
19.40,1080467,2022-07-20,Y501,JL,0 days 09:08:46
21.21,1080468,2022-07-20,Y500,JL,0 days 09:09:33
21.89,1080470,2022-07-20,Y503,JL,0 days 09:10:35
18.40,1080670,2022-07-21,Y600,JL,0 days 09:26:09
24.29,1080678,2022-07-21,Y502,JL,0 days 09:36:04
21.90,1080680,2022-07-21,Y500,JL,0 days 09:36:41
19.78,1080682,2022-07-21,Y501,JL,0 days 09:37:20
22.88,1080684,2022-07-21,Y503,JL,0 days 09:37:59
19.73,1080885,2022-07-22,Y501,JL,0 days 09:07:48
24.28,1080886,2022-07-22,Y502,JL,0 days 09:08:37
22.57,1080888,2022-07-22,Y500,JL,0 days 09:09:16
22.45,1080889,2022-07-22,Y503,JL,0 days 09:09:42
19.73,1080892,2022-07-22,Y600,JL,0 days 09:12:31
18.60,1081078,2022-07-23,Y600,ER,0 days 09:45:10
25.09,1081080,2022-07-23,Y502,ER,0 days 09:48:13
20.60,1081082,2022-07-23,Y501,ER,0 days 09:48:53
23.30,1081086,2022-07-23,Y503,ER,0 days 09:50:13
23.47,1081088,2022-07-23,Y500,ER,0 days 09:52:41
18.59,1081186,2022-07-24,Y600,ER,0 days 09:27:20
20.51,1081187,2022-07-24,Y501,ER,0 days 09:29:23
25.38,1081188,2022-07-24,Y502,ER,0 days 09:29:50
23.59,1081189,2022-07-24,Y503,ER,0 days 09:31:26
23.64,1081190,2022-07-24,Y500,ER,0 days 09:31:52
18.38,1081344,2022-07-25,Y600,ER,0 days 09:45:49
20.60,1081345,2022-07-25,Y501,ER,0 days 09:47:35
25.21,1081346,2022-07-25,Y502,ER,0 days 09:47:54
23.00,1081350,2022-07-25,Y503,ER,0 days 09:49:12
23.28,1081351,2022-07-25,Y500,ER,0 days 09:49:29
18.76,1081504,2022-07-26,Y600,JY,0 days 12:11:05
20.22,1081509,2022-07-26,Y501,JY,0 days 13:13:42
22.99,1081510,2022-07-26,Y503,JY,0 days 13:14:53
23.11,1081511,2022-07-26,Y500,JY,0 days 13:16:34
25.08,1081512,2022-07-26,Y502,JY,0 days 13:18:16
19.00,1081667,2022-07-27,Y600,ER,0 days 10:50:41
25.79,1081669,2022-07-27,Y502,ER,0 days 12:02:38
23.01,1081670,2022-07-27,Y503,ER,0 days 12:03:39
23.18,1081671,2022-07-27,Y500,ER,0 days 12:04:34
20.40,1081672,2022-07-27,Y501,ER,0 days 12:05:27
18.76,1081673,2022-07-28,Y600,JY,0 days 10:20:44
23.35,1081676,2022-07-28,Y503,JY,0 days 10:27:05
23.20,1081679,2022-07-28,Y500,JY,0 days 10:28:50
25.45,1081680,2022-07-28,Y502,JY,0 days 10:30:27
20.81,1081682,2022-07-28,Y501,JY,0 days 10:31:44
19.11,1081880,2022-07-29,Y600,JY,0 days 11:41:46
23.28,1081883,2022-07-29,Y500,JY,0 days 13:01:46
21.05,1081884,2022-07-29,Y501,JY,0 days 13:03:17
25.90,1081885,2022-07-29,Y502,JY,0 days 13:04:42
23.24,1081886,2022-07-29,Y503,JY,0 days 13:06:24
18.49,1082081,2022-07-30,Y600,ER,0 days 11:02:33
20.28,1082083,2022-07-30,Y501,ER,0 days 12:15:56
22.85,1082084,2022-07-30,Y503,ER,0 days 12:17:39
25.32,1082086,2022-07-30,Y502,ER,0 days 12:18:33
22.54,1082088,2022-07-30,Y500,ER,0 days 12:20:01
17.68,1082282,2022-07-31,Y600,ER,0 days 10:49:52
24.59,1082284,2022-07-31,Y502,ER,0 days 12:02:34
22.30,1082285,2022-07-31,Y500,ER,0 days 12:03:24
20.30,1082286,2022-07-31,Y501,ER,0 days 12:04:21
22.71,1082287,2022-07-31,Y503,ER,0 days 12:05:15
17.11,1082481,2022-08-01,Y600,ER,0 days 11:24:31
