animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R610,2023-04-13,Rig406,66,1,10:14:54,1.03,64.08,15.55,JL,0.0,0.0,0.62,0.62,0.0
R610,2023-04-15,Rig406,67,1,11:15:11,1.04,64.42,15.32,AB,4.0,0.0,1.04,0.61,0.43000000000000005
R610,2023-04-16,Rig406,68,1,10:52:54,1.05,64.76,16.15,ER,4.0,0.0,0.945,0.65,0.29499999999999993
R610,2023-04-17,Rig406,85,1,09:44:17,1.04,81.73,16.56,JL,4.0,0.0,1.275,0.66,0.6149999999999999
R610,2023-04-18,Rig406,85,1,10:05:05,1.04,81.73,17.27,JL,4.0,0.0,0.84,0.69,0.15000000000000002
R610,2023-04-19,Rig406,102,1,10:40:06,1.02,100.0,16.98,ER,4.0,0.0,1.03,0.68,0.35
R610,2023-04-20,Rig406,88,1,08:28:46,1.03,85.44,16.7,ER,4.0,0.0,0.7,0.67,0.029999999999999916
R610,2023-04-21,Rig406,125,1,08:32:36,1.03,121.36,16.18,ER,4.0,0.0,1.03,0.65,0.38
R610,2023-04-22,Rig406,137,1,11:11:19,1.09,125.69,15.92,ER,4.0,0.0,0.968,0.64,0.32799999999999996
R610,2023-04-23,Rig406,159,1,10:09:45,1.05,151.43,15.88,ER,4.0,0.0,1.2,0.64,0.5599999999999999
R610,2023-04-24,Rig406,169,1,10:10:26,1.05,160.95,15.86,JL,4.0,0.0,1.272,0.63,0.642
R610,2023-04-25,Rig406,156,1,10:10:10,1.16,134.48,16.08,JL,4.0,0.0,0.864,0.64,0.22399999999999998
R610,2023-04-26,Rig406,141,1,09:47:44,0.94,150.0,15.96,ER,4.0,0.111,0.528,0.64,-0.0010000000000000009
R610,2023-04-27,Rig406,169,1,08:29:58,1.01,167.33,15.85,ER,4.0,0.045,0.594,0.63,0.009000000000000008
R610,2023-04-28,Rig406,169,1,09:38:41,1.04,162.5,15.78,JL,4.0,0.0,0.654,0.63,0.02400000000000002
R610,2023-05-01,Rig406,181,1,09:46:21,1.03,175.73,16.1,JL,4.0,0.0,0.738,0.64,0.09799999999999998
R610,2023-05-02,Rig406,178,1,10:02:47,1.15,154.78,16.05,JL,4.0,0.0,0.66,0.64,0.020000000000000018
R610,2023-05-03,Rig406,152,1,07:36:32,1.01,150.5,15.93,ER,4.0,0.009,0.63,0.64,-0.0010000000000000009
