animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R013,2023-06-27,,,0,,0.0,,,,,176.0,KO,0.0,0.0,0.0,5.28,-5.28
R013,2023-06-28,,,0,,0.0,,,,,184.0,KO,0.0,0.0,0.0,5.52,-5.52
R013,2023-06-29,,,0,,0.0,,,,,191.0,KO,0.0,0.0,0.0,5.73,-5.73
R013,2023-06-30,,,0,,0.0,,,,,192.0,JL,0.0,0.0,0.0,5.76,-5.76
R013,2023-07-03,,,0,,0.0,,,,,218.0,KO,0.0,0.0,0.0,6.54,-6.54
R013,2023-07-04,,,0,,0.0,,,,,225.0,KO,0.0,0.0,0.0,6.75,-6.75
R013,2023-07-05,,,0,,0.0,,,,,231.0,KO,0.0,0.0,0.0,6.93,-6.93
R013,2023-07-06,,,0,,0.0,,,,,231.0,KO,0.0,0.0,0.0,6.93,-6.93
R013,2023-07-07,,,0,,0.0,,,,,232.0,JL,0.0,0.0,0.0,6.96,-6.96
R013,2023-07-08,,,0,,0.0,,,,,242.0,AB,0.0,0.0,0.0,7.26,-7.26
R013,2023-07-09,,,0,,0.0,,,,,246.0,AB,0.0,0.0,0.0,7.38,-7.38
R013,2023-07-10,,,0,,0.0,,,,,250.0,JL,0.0,0.0,0.0,7.5,-7.5
R013,2023-07-11,,,0,,0.0,,,,,260.0,KO,0.0,0.0,0.0,7.8,-7.8
R013,2023-07-12,,,0,,0.0,,,,,266.0,KO,0.0,0.0,0.0,7.98,-7.98
R013,2023-07-13,,,0,,0.0,,,,,274.0,KO,0.0,0.0,0.0,8.22,-8.22
R013,2023-07-14,Rig27,136.0,1,11:24:59,2.29,59.39,0.95,0.84,-0.95,274.0,KO,0.0,0.0,0.0,8.22,-8.22
R013,2023-07-15,Rig27,133.0,1,11:29:21,2.11,63.03,0.94,0.09,-0.0799999999999999,258.0,AB,0.0,0.0,0.0,7.74,-7.74
R013,2023-07-16,Rig27,191.0,1,11:21:45,2.23,85.65,0.8,0.06,-0.1099999999999999,256.0,AB,0.0,0.0,0.0,7.68,-7.68
R013,2023-07-17,Rig27,189.0,1,11:30:01,2.23,84.75,0.92,0.02,0.02,258.0,JL,0.0,0.0,8.55,7.74,0.8100000000000005
R013,2023-07-18,Rig27,224.0,1,11:26:07,2.28,98.25,0.93,0.01,-0.0399999999999999,252.0,KO,0.0,0.0,10.57,7.56,3.0100000000000007
R013,2023-07-19,Rig27,216.0,1,11:35:31,2.25,96.0,0.99,0.01,-0.02,262.0,KO,0.0,0.0,10.56,7.86,2.7
R014,2023-06-27,,,0,,0.0,,,,,186.0,KO,0.0,0.0,0.0,5.58,-5.58
R014,2023-06-28,,,0,,0.0,,,,,194.0,KO,0.0,0.0,0.0,5.82,-5.82
R014,2023-06-29,,,0,,0.0,,,,,198.0,KO,0.0,0.0,0.0,5.94,-5.94
R014,2023-06-30,,,0,,0.0,,,,,206.0,JL,0.0,0.0,0.0,6.18,-6.18
R014,2023-07-03,,,0,,0.0,,,,,230.0,KO,0.0,0.0,0.0,6.9,-6.9
R014,2023-07-04,,,0,,0.0,,,,,234.0,KO,0.0,0.0,0.0,7.02,-7.02
R014,2023-07-05,,,0,,0.0,,,,,242.0,KO,0.0,0.0,0.0,7.26,-7.26
R014,2023-07-06,,,0,,0.0,,,,,245.0,KO,0.0,0.0,0.0,7.35,-7.35
R014,2023-07-07,,,0,,0.0,,,,,249.0,JL,0.0,0.0,0.0,7.47,-7.47
R014,2023-07-08,,,0,,0.0,,,,,256.0,AB,0.0,0.0,0.0,7.68,-7.68
R014,2023-07-09,,,0,,0.0,,,,,260.0,AB,0.0,0.0,0.0,7.8,-7.8
R014,2023-07-10,,,0,,0.0,,,,,259.0,JL,0.0,0.0,0.0,7.77,-7.77
R014,2023-07-11,,,0,,0.0,,,,,266.0,KO,0.0,0.0,0.0,7.98,-7.98
R014,2023-07-12,,,0,,0.0,,,,,273.0,KO,0.0,0.0,0.0,8.19,-8.19
R014,2023-07-13,,,0,,0.0,,,,,278.0,KO,0.0,0.0,0.0,8.34,-8.34
R014,2023-07-14,Rig29,136.0,1,11:23:33,2.34,58.12,0.99,0.95,-0.99,280.0,KO,0.0,0.0,0.0,8.4,-8.4
R014,2023-07-15,Rig29,129.0,1,11:28:34,2.13,60.56,0.95,0.23,0.95,264.0,AB,0.0,0.0,0.0,7.92,-7.92
R014,2023-07-16,Rig29,145.0,1,11:22:39,2.23,65.02,0.77,0.02,0.18,256.0,AB,0.0,0.0,0.0,7.68,-7.68
R014,2023-07-17,Rig29,189.0,1,11:31:08,2.22,85.14,0.71,0.01,-0.19,255.0,JL,0.0,0.0,7.23,7.65,-0.4199999999999999
R014,2023-07-18,Rig29,196.0,1,11:26:29,2.28,85.96,0.7700000000000001,0.02,0.0999999999999999,260.0,KO,0.0,0.0,8.09,7.8,0.29
R014,2023-07-19,Rig29,191.0,1,11:35:17,2.26,84.51,0.8200000000000001,0.06,-0.0499999999999999,266.0,KO,0.0,0.0,7.95,7.98,-0.0300000000000002
R015,2023-06-27,,,0,,0.0,,,,,173.0,KO,0.0,0.0,0.0,5.19,-5.19
R015,2023-06-28,,,0,,0.0,,,,,180.0,KO,0.0,0.0,0.0,5.4,-5.4
R015,2023-06-29,,,0,,0.0,,,,,186.0,KO,0.0,0.0,0.0,5.58,-5.58
R015,2023-06-30,,,0,,0.0,,,,,189.0,JL,0.0,0.0,0.0,5.67,-5.67
R015,2023-07-03,,,0,,0.0,,,,,214.0,KO,0.0,0.0,0.0,6.42,-6.42
R015,2023-07-04,,,0,,0.0,,,,,216.0,KO,0.0,0.0,0.0,6.48,-6.48
R015,2023-07-05,,,0,,0.0,,,,,228.0,KO,0.0,0.0,0.0,6.84,-6.84
R015,2023-07-06,,,0,,0.0,,,,,224.0,KO,0.0,0.0,0.0,6.72,-6.72
R015,2023-07-07,,,0,,0.0,,,,,231.0,JL,0.0,0.0,0.0,6.93,-6.93
R015,2023-07-08,,,0,,0.0,,,,,235.0,AB,0.0,0.0,0.0,7.05,-7.05
R015,2023-07-09,,,0,,0.0,,,,,240.0,AB,0.0,0.0,0.0,7.2,-7.2
R015,2023-07-10,,,0,,0.0,,,,,241.0,JL,0.0,0.0,0.0,7.23,-7.23
R015,2023-07-11,,,0,,0.0,,,,,249.0,KO,0.0,0.0,0.0,7.47,-7.47
R015,2023-07-12,,,0,,0.0,,,,,259.0,KO,0.0,0.0,0.0,7.77,-7.77
R015,2023-07-13,,,0,,0.0,,,,,261.0,KO,0.0,0.0,0.0,7.83,-7.83
R015,2023-07-14,Rig24,137.0,1,11:24:26,2.32,59.05,0.99,0.9,-0.99,264.0,KO,0.0,0.0,0.0,7.92,-7.92
R015,2023-07-15,Rig24,132.0,1,11:28:28,2.14,61.68,0.89,0.14,-0.0799999999999999,247.0,AB,0.0,0.0,0.0,7.41,-7.41
R015,2023-07-16,Rig24,168.0,1,11:22:50,2.22,75.68,0.72,0.14,-0.97,240.0,AB,0.0,0.0,0.0,7.2,-7.2
R015,2023-07-17,Rig24,196.0,1,11:31:22,2.22,88.29,0.74,0.05,-0.1599999999999999,237.0,JL,0.0,0.0,7.065,7.11,-0.0449999999999999
R015,2023-07-18,Rig24,195.0,1,11:26:42,2.27,85.9,0.88,0.07,0.01,245.0,KO,0.0,0.0,8.0,7.35,0.6500000000000004
R015,2023-07-19,Rig24,197.0,1,11:35:09,2.27,86.78,0.8800000000000001,0.02,0.08,249.0,KO,0.0,0.0,8.55,7.47,1.080000000000001
R013,2023-07-20,,,0,,0.0,,,,,267.0,KO,0.0,0.0,0.0,8.01,-8.01
R014,2023-07-20,,,0,,0.0,,,,,271.0,KO,0.0,0.0,0.0,8.13,-8.13
R015,2023-07-20,,,0,,0.0,,,,,253.0,KO,0.0,0.0,0.0,7.59,-7.59
R013,2023-07-21,Rig27,241.0,1,11:23:04,2.51,96.02,0.96,0.02,-0.03,260.0,KO,0.0,0.0,9.224,7.8,1.4240000000000004
R013,2023-07-22,Rig27,207.0,1,11:28:38,2.15,96.28,0.98,0.0399999999999999,0.01,269.0,AB,0.0,0.0,7.936,8.07,-0.1340000000000003
R013,2023-07-23,Rig27,199.0,1,11:32:11,2.08,95.67,0.97,0.05,-0.02,272.0,AB,0.0,0.0,7.492,8.16,-0.6680000000000001
R014,2023-07-21,Rig29,213.0,1,11:22:52,2.5,85.2,0.83,0.1,-0.0499999999999999,275.0,KO,0.0,0.0,8.66,8.25,0.4100000000000001
R014,2023-07-22,Rig29,177.0,1,11:29:57,2.1,84.29,0.8799999999999999,0.03,-0.08,275.0,AB,0.0,0.0,7.89,8.25,-0.3600000000000003
R014,2023-07-23,Rig29,176.0,1,11:33:23,2.07,85.02,0.88,0.02,-0.06,277.0,AB,0.0,0.0,7.925,8.31,-0.3850000000000007
R015,2023-07-21,Rig24,216.0,1,11:23:26,2.5,86.4,0.91,0.03,0.1099999999999999,257.0,KO,0.0,0.0,9.5,7.71,1.79
R015,2023-07-22,Rig24,184.0,1,11:29:50,2.12,86.79,0.92,0.03,-0.0299999999999999,260.0,AB,0.0,0.0,8.25,7.8,0.4500000000000002
R015,2023-07-23,Rig24,180.0,1,11:33:14,2.07,86.96,0.94,0.02,-0.0199999999999999,262.0,AB,0.0,0.0,8.25,7.86,0.3899999999999997
R013,2023-07-25,Rig27,292.0,1,11:38:01,2.16,135.19,0.99,0.0,0.0,278.0,KO,0.0,0.0,11.58,8.34,3.24
R013,2023-07-26,Rig27,239.0,1,11:29:30,2.31,103.46,0.99,0.0,0.01000000000000001,284.0,KO,0.0,0.0,9.504,8.52,0.984
R014,2023-07-25,Rig29,158.0,1,11:38:15,2.15,73.49,0.89,0.060000000000000005,-0.010000000000000009,283.0,KO,0.0,0.0,6.965,8.49,-1.5250000000000004
R014,2023-07-26,Rig29,91.0,1,11:30:33,2.3,39.57,0.91,0.01,-0.18999999999999995,288.0,KO,0.0,0.0,4.22,8.64,-4.420000000000001
R015,2023-07-25,Rig24,158.0,1,11:39:03,2.13,74.18,0.95,0.030000000000000002,0.010000000000000009,268.0,KO,0.0,0.0,7.43,8.04,-0.6099999999999994
R015,2023-07-26,Rig24,40.0,1,11:30:41,2.3,17.39,0.9399999999999998,0.15,0.10999999999999999,274.0,KO,0.0,0.0,1.69,8.22,-6.530000000000001
