animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
C214,2024-02-25,Rig35,235.0,1,18:34:22,3.48,67.53,0.99,0.34,0.0,463.0,AB,0.0,0.0,9.198,13.89,-4.692
C215,2024-02-25,Rig20,140.0,1,18:34:39,3.47,40.35,0.65,0.07,0.01,416.0,AB,0.0,0.0,4.62,12.48,-7.86
C220,2024-02-25,Rig18,104.0,1,16:15:26,2.26,46.02,0.69,0.09,-0.2099999999999999,492.0,AB,0.0,0.0,3.3,14.76,-11.46
C221,2024-02-25,Rig02,263.0,1,16:15:43,2.25,116.89,0.49,0.02,-0.2,549.0,AB,0.0,0.0,5.67,16.47,-10.8
C222,2024-02-25,Rig25,279.0,1,18:35:43,3.44,81.1,0.91,0.21,-0.01,530.0,AB,0.0,0.0,7.035,15.9,-8.865
C223,2024-02-25,Rig04,36.0,1,18:35:34,3.45,10.43,0.6,0.58,-0.32,479.0,AB,0.0,0.0,0.45,14.37,-13.92
C214,2024-02-26,Rig35,204.0,1,18:30:03,3.66,55.74,0.98,0.43,-0.03,459.0,ER,0.0,0.0,6.936,13.77,-6.834
C215,2024-02-26,Rig20,243.0,1,18:29:51,3.66,66.39,0.71,0.16,-0.0799999999999999,413.0,ER,0.0,0.0,7.975,12.39,-4.415000000000001
C220,2024-02-26,Rig18,79.0,1,16:11:18,2.08,37.98,0.56,0.09,0.0399999999999999,489.0,ER,0.0,0.0,2.0,14.67,-12.67
C221,2024-02-26,Rig02,260.0,1,16:05:54,2.18,119.27,0.56,0.04,-0.16,541.0,ER,0.0,0.0,6.255,16.23,-9.975
C222,2024-02-26,Rig25,282.0,1,18:31:21,3.62,77.9,0.94,0.14,-0.0699999999999999,527.0,ER,0.0,0.0,7.98,15.81,-7.83
C223,2024-02-26,Rig04,51.0,1,18:31:33,3.62,14.09,0.76,0.67,0.16,470.0,ER,0.0,0.0,0.65,14.1,-13.45
C214,2024-02-27,Rig35,337.0,1,18:47:23,3.41,98.83,0.97,0.28,-0.02,466.0,KO,0.0,0.0,14.364,13.98,0.3840000000000003
C214,2024-02-28,Rig35,291.0,1,18:56:07,3.63,80.17,0.99,0.38,0.0,467.0,KO,0.0,0.0,0.0,14.01,-14.01
C215,2024-02-27,Rig20,207.0,1,18:47:43,3.4,60.88,0.73,0.0399999999999999,0.09,418.0,KO,0.0,0.0,7.975,12.54,-4.565
C215,2024-02-28,Rig20,184.0,1,18:45:32,3.81,48.29,0.67,0.05,-0.1099999999999999,418.0,KO,0.0,0.0,6.49,12.54,-6.049999999999999
C220,2024-02-27,Rig18,119.0,1,16:04:02,2.67,44.57,0.66,0.2,0.19,494.0,KO,0.0,0.0,2.835,14.82,-11.985
C220,2024-02-28,Rig18,121.0,1,16:19:11,2.39,50.63,0.7,0.24,0.0,490.0,KO,0.0,0.0,2.88,14.7,-11.82
C221,2024-02-27,Rig02,330.0,1,16:03:43,2.68,123.13,0.57,0.03,-0.26,547.0,KO,0.0,0.0,8.145,16.41,-8.265
C221,2024-02-28,Rig02,273.0,1,16:19:49,2.37,115.19,0.6,0.03,-0.1599999999999999,548.0,KO,0.0,0.0,7.2,16.44,-9.240000000000002
C222,2024-02-27,Rig25,320.0,1,18:59:03,3.2,100.0,0.95,0.19,-0.01,531.0,KO,0.0,0.0,8.575,15.93,-7.355
C222,2024-02-28,Rig25,333.0,1,18:51:33,3.73,89.28,0.94,0.08,-0.0799999999999999,531.0,KO,0.0,0.0,10.01,15.93,-5.92
C223,2024-02-27,Rig04,48.0,1,18:49:18,3.38,14.2,0.85,0.58,-0.29,479.0,KO,0.0,0.0,0.85,14.37,-13.52
C223,2024-02-28,Rig04,48.0,1,18:49:07,3.76,12.77,0.75,0.58,-0.1499999999999999,477.0,KO,0.0,0.0,0.75,14.31,-13.56
C214,2024-02-29,Rig35,435.0,1,18:56:36,3.66,118.85,0.97,0.29,0.02,468.0,KO,0.0,0.0,18.678,14.04,4.638000000000002
