animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R020,2024-01-09,Rig08,162.0,1,05:00:53,1.68,96.43,0.68,0.0499999999999999,0.0899999999999999,432.0,JM,0.0,0.0,4.16,12.96,-8.8
R021,2024-01-09,Rig09,138.0,1,05:02:40,1.65,83.64,0.92,0.14,-0.01,372.0,JM,0.0,0.0,3.996,11.16,-7.164
R022,2024-01-09,Rig16,215.0,1,05:00:51,1.67,128.74,0.96,0.04,0.0699999999999999,439.0,JM,0.0,0.0,7.92,13.17,-5.25
R023,2024-01-09,Rig18,196.0,1,05:00:03,1.68,116.67,0.9200000000000002,0.13,-0.02,359.0,JM,0.0,0.0,7.85,10.77,-2.92
R024,2024-01-09,Rig19,254.0,1,06:56:35,4.13,61.5,0.76,0.04,-0.01,408.0,JM,0.0,0.0,8.415,12.24,-3.825000000000001
R025,2024-01-09,Rig12,319.0,1,06:56:46,4.13,77.24,0.8800000000000001,0.21,-0.13,303.0,JM,0.0,0.0,5.5,9.09,-3.59
R026,2024-01-09,Rig14,112.0,1,08:48:29,2.24,50.0,0.74,0.3,0.09,375.0,JM,0.0,0.0,2.32,11.25,-8.93
R027,2024-01-09,Rig24,179.0,1,06:56:31,4.1,43.66,0.91,0.24,0.02,388.0,JM,0.0,0.0,4.34,11.64,-7.300000000000001
R028,2024-01-09,Rig06,257.0,1,06:56:12,4.1,62.68,0.7,0.14,-0.0799999999999999,418.0,JM,0.0,0.0,6.12,12.54,-6.419999999999999
R029,2024-01-09,Rig09,262.0,1,06:56:51,4.08,64.22,0.74,0.12,0.2099999999999999,406.0,JM,0.0,0.0,6.8,12.18,-5.38
R020,2024-01-10,,,0,,0.0,,,,,436.0,JM,0.0,0.0,0.0,13.08,-13.08
R021,2024-01-10,,,0,,0.0,,,,,377.0,JM,0.0,0.0,0.0,11.31,-11.31
R022,2024-01-10,,,0,,0.0,,,,,444.0,JM,0.0,0.0,0.0,13.32,-13.32
R023,2024-01-10,,,0,,0.0,,,,,365.0,JM,0.0,0.0,0.0,10.95,-10.95
R024,2024-01-10,,,0,,0.0,,,,,415.0,JM,0.0,0.0,0.0,12.45,-12.45
R025,2024-01-10,,,0,,0.0,,,,,308.0,JM,0.0,0.0,0.0,9.24,-9.24
R026,2024-01-10,,,0,,0.0,,,,,382.0,JM,0.0,0.0,0.0,11.46,-11.46
R027,2024-01-10,,,0,,0.0,,,,,394.0,JM,0.0,0.0,0.0,11.82,-11.82
R028,2024-01-10,,,0,,0.0,,,,,419.0,JM,0.0,0.0,0.0,12.57,-12.57
R029,2024-01-10,,,0,,0.0,,,,,409.0,JM,0.0,0.0,0.0,12.27,-12.27
R020,2024-01-11,Rig08,147.0,1,05:23:02,1.94,75.77,0.66,0.06,0.04,435.0,AB,0.0,0.0,3.64,13.05,-9.41
R021,2024-01-11,Rig09,72.0,1,05:27:17,1.87,38.5,0.97,0.12,0.05,373.0,AB,0.0,0.0,2.257,11.19,-8.933
R022,2024-01-11,Rig16,168.0,1,05:24:11,1.93,87.05,0.95,0.04,0.0699999999999999,440.0,AB,0.0,0.0,6.12,13.2,-7.079999999999999
R023,2024-01-11,Rig18,109.0,1,05:24:19,1.93,56.48,0.88,0.19,-0.14,357.0,AB,0.0,0.0,3.85,10.71,-6.860000000000001
R024,2024-01-11,Rig19,231.0,1,07:27:41,4.26,54.23,0.76,0.06,-0.04,411.0,AB,0.0,0.0,7.47,12.33,-4.86
R025,2024-01-11,Rig12,275.0,1,07:28:04,4.27,64.4,0.88,0.26,-0.01,304.0,AB,0.0,0.0,4.475,9.12,-4.645
R026,2024-01-11,Rig14,753.0,1,07:27:59,4.15,181.45,0.65,0.46,0.01,379.0,AB,0.0,0.0,10.56,11.37,-0.8099999999999987
R027,2024-01-11,Rig24,162.0,1,07:27:38,4.19,38.66,0.96,0.25,0.0,391.0,AB,0.0,0.0,4.06,11.73,-7.670000000000001
R028,2024-01-11,Rig06,274.0,1,07:28:57,4.27,64.17,0.76,0.16,-0.08,416.0,AB,0.0,0.0,6.96,12.48,-5.5200000000000005
R029,2024-01-11,Rig09,149.0,1,07:28:07,4.29,34.73,0.58,0.16,0.28,405.0,AB,0.0,0.0,2.88,12.15,-9.27
R020,2024-01-12,Rig08,166.0,1,05:20:42,2.02,82.18,0.7,0.05,0.0699999999999999,435.0,AB,0.0,0.0,4.44,13.05,-8.61
R021,2024-01-12,Rig09,76.0,1,05:20:43,2.01,37.81,0.92,0.17,-0.01,373.0,AB,0.0,0.0,2.146,11.19,-9.044
R022,2024-01-12,Rig16,162.0,1,05:21:56,2.0,81.0,0.97,0.07,-0.02,444.0,AB,0.0,0.0,5.84,13.32,-7.48
R023,2024-01-12,Rig18,136.0,1,05:21:52,2.0,68.0,0.93,0.21,-0.0799999999999999,358.0,AB,0.0,0.0,5.0,10.74,-5.74
R024,2024-01-12,Rig19,136.0,1,07:29:54,0.92,147.83,0.74,0.04,-0.1499999999999999,413.0,AB,0.0,0.0,4.365,12.39,-8.025
R025,2024-01-12,Rig12,110.0,1,07:28:19,0.95,115.79,0.86,0.25,-0.1899999999999999,304.0,AB,0.0,0.0,1.775,9.12,-7.344999999999999
R026,2024-01-12,Rig35,75.0,1,07:30:07,0.94,79.79,0.7,0.43,0.0699999999999999,379.0,AB,0.0,0.0,1.2,11.37,-10.17
R027,2024-01-12,Rig24,64.0,1,07:28:00,0.97,65.98,0.93,0.3,0.0099999999999998,392.0,AB,0.0,0.0,1.47,11.76,-10.29
