mass,weighing,date,ratname,tech,timeval
0.00,1077881,2022-07-08,R501,FW,0 days 16:49:47
0.00,1077896,2022-07-08,Y501,FW,0 days 16:49:47
0.00,1077897,2022-07-08,Y502,FW,0 days 16:49:47
20.82,1078539,2022-07-11,Y501,JW,0 days 15:07:09
25.60,1078542,2022-07-11,Y502,JW,0 days 15:08:55
23.28,1078543,2022-07-11,R501,JW,0 days 15:10:23
23.71,1078767,2022-07-12,R501,JW,0 days 09:47:33
25.97,1078775,2022-07-12,Y502,JW,0 days 09:50:18
21.56,1078779,2022-07-12,Y501,JW,0 days 09:51:54
23.91,1078996,2022-07-13,R501,JW,0 days 10:22:59
21.03,1079002,2022-07-13,Y501,JW,0 days 10:26:23
26.04,1079003,2022-07-13,Y502,JW,0 days 10:26:40
24.83,1079439,2022-07-15,R501,JL,0 days 13:27:25
26.33,1079444,2022-07-15,Y502,JL,0 days 13:33:10
21.76,1079446,2022-07-15,Y501,JL,0 days 13:34:24
24.99,1079665,2022-07-16,R501,JW,0 days 09:38:56
26.49,1079677,2022-07-16,Y502,JW,0 days 09:44:11
21.87,1079678,2022-07-16,Y501,JW,0 days 09:44:31
21.43,1079865,2022-07-17,Y501,JW,0 days 09:09:35
26.68,1079866,2022-07-17,Y502,JW,0 days 09:10:03
25.21,1079880,2022-07-17,R501,JW,0 days 09:15:48
22.67,1080030,2022-07-18,R501,JW,0 days 12:35:11
24.15,1080036,2022-07-18,Y502,JW,0 days 12:38:03
19.11,1080038,2022-07-18,Y501,JW,0 days 12:38:36
24.38,1080245,2022-07-19,Y502,JW,0 days 10:20:37
19.90,1080250,2022-07-19,Y501,JW,0 days 10:24:56
22.24,1080252,2022-07-19,R501,JW,0 days 10:52:31
23.12,1080459,2022-07-20,R501,JL,0 days 09:03:10
23.99,1080465,2022-07-20,Y502,JL,0 days 09:07:42
19.40,1080467,2022-07-20,Y501,JL,0 days 09:08:46
23.15,1080673,2022-07-21,R501,JL,0 days 09:33:10
24.29,1080678,2022-07-21,Y502,JL,0 days 09:36:04
19.78,1080682,2022-07-21,Y501,JL,0 days 09:37:20
22.53,1080881,2022-07-22,R501,JL,0 days 09:03:47
19.73,1080885,2022-07-22,Y501,JL,0 days 09:07:48
24.28,1080886,2022-07-22,Y502,JL,0 days 09:08:37
23.13,1081071,2022-07-23,R501,ER,0 days 09:22:13
25.09,1081080,2022-07-23,Y502,ER,0 days 09:48:13
20.60,1081082,2022-07-23,Y501,ER,0 days 09:48:53
22.10,1081181,2022-07-24,R501,ER,0 days 09:21:53
20.51,1081187,2022-07-24,Y501,ER,0 days 09:29:23
25.38,1081188,2022-07-24,Y502,ER,0 days 09:29:50
21.90,1081337,2022-07-25,R501,ER,0 days 09:36:44
20.60,1081345,2022-07-25,Y501,ER,0 days 09:47:35
25.21,1081346,2022-07-25,Y502,ER,0 days 09:47:54
21.67,1081499,2022-07-26,R501,JY,0 days 10:47:39
20.22,1081509,2022-07-26,Y501,JY,0 days 13:13:42
25.08,1081512,2022-07-26,Y502,JY,0 days 13:18:16
22.30,1081660,2022-07-27,R501,ER,0 days 09:09:22
25.79,1081669,2022-07-27,Y502,ER,0 days 12:02:38
20.40,1081672,2022-07-27,Y501,ER,0 days 12:05:27
25.45,1081680,2022-07-28,Y502,JY,0 days 10:30:27
20.81,1081682,2022-07-28,Y501,JY,0 days 10:31:44
21.76,1081686,2022-07-28,R501,JY,0 days 10:55:20
21.71,1081875,2022-07-29,R501,JY,0 days 10:15:34
21.05,1081884,2022-07-29,Y501,JY,0 days 13:03:17
25.90,1081885,2022-07-29,Y502,JY,0 days 13:04:42
21.99,1082074,2022-07-30,R501,ER,0 days 09:49:09
20.28,1082083,2022-07-30,Y501,ER,0 days 12:15:56
25.32,1082086,2022-07-30,Y502,ER,0 days 12:18:33
21.82,1082274,2022-07-31,R501,ER,0 days 09:34:07
24.59,1082284,2022-07-31,Y502,ER,0 days 12:02:34
