mass,weighing,date,ratname,tech,timeval
,1104839,2022-12-08,W600,FW,0 days 18:16:36
,1104840,2022-12-08,W601,FW,0 days 18:16:36
,1104841,2022-12-08,W602,FW,0 days 18:16:36
,1104842,2022-12-08,W603,FW,0 days 18:16:36
,1104982,2022-12-09,W600,FW,0 days 17:36:59
,1104983,2022-12-09,W601,FW,0 days 17:36:59
,1104984,2022-12-09,W602,FW,0 days 17:36:59
,1104985,2022-12-09,W603,FW,0 days 17:36:59
21.97,1108065,2023-01-03,W600,WS,0 days 15:50:39
21.21,1108066,2023-01-03,W601,WS,0 days 15:51:48
20.29,1108067,2023-01-03,W602,WS,0 days 15:53:20
20.04,1108068,2023-01-03,W603,WS,0 days 15:54:10
,1108301,2023-01-04,W600,FW,0 days 23:52:31
,1108302,2023-01-04,W601,FW,0 days 23:52:31
,1108303,2023-01-04,W602,FW,0 days 23:52:31
,1108304,2023-01-04,W603,FW,0 days 23:52:31
18.95,1108382,2023-01-05,W601,JL,0 days 09:12:29
18.03,1108384,2023-01-05,W602,JL,0 days 09:12:57
18.35,1108386,2023-01-05,W603,JL,0 days 09:15:47
19.46,1108388,2023-01-05,W600,JL,0 days 09:16:42
19.39,1108540,2023-01-06,W603,JL,0 days 10:23:44
20.00,1108542,2023-01-06,W600,JL,0 days 10:24:31
18.48,1108544,2023-01-06,W602,JL,0 days 10:25:17
19.60,1108546,2023-01-06,W601,JL,0 days 10:26:24
,1108722,2023-01-07,W600,FW,0 days 23:52:34
,1108723,2023-01-07,W601,FW,0 days 23:52:34
,1108724,2023-01-07,W602,FW,0 days 23:52:34
,1108725,2023-01-07,W603,FW,0 days 23:52:34
,1108861,2023-01-08,W600,FW,0 days 23:52:31
,1108862,2023-01-08,W601,FW,0 days 23:52:31
,1108863,2023-01-08,W602,FW,0 days 23:52:31
,1108864,2023-01-08,W603,FW,0 days 23:52:31
16.12,1108940,2023-01-09,W602,WS,0 days 14:25:36
17.07,1108947,2023-01-09,W601,WS,0 days 14:30:59
16.61,1108948,2023-01-09,W600,WS,0 days 14:32:49
17.29,1108951,2023-01-09,W603,WS,0 days 14:33:37
20.10,1109088,2023-01-10,W601,WS,0 days 12:29:28
20.30,1109089,2023-01-10,W600,WS,0 days 12:31:50
19.00,1109091,2023-01-10,W602,WS,0 days 12:33:39
19.15,1109092,2023-01-10,W603,WS,0 days 12:35:07
20.54,1109225,2023-01-11,W601,WS,0 days 13:05:05
16.90,1109227,2023-01-11,W602,WS,0 days 13:07:47
20.97,1109228,2023-01-11,W600,WS,0 days 13:09:45
19.27,1109229,2023-01-11,W603,WS,0 days 13:11:36
20.61,1109361,2023-01-12,W601,WS,0 days 12:45:48
19.58,1109362,2023-01-12,W603,WS,0 days 12:48:37
19.38,1109363,2023-01-12,W602,WS,0 days 12:51:12
21.17,1109364,2023-01-12,W600,WS,0 days 12:52:34
19.50,1109476,2023-01-13,W603,WS,0 days 12:06:24
20.80,1109477,2023-01-13,W600,WS,0 days 12:09:15
19.99,1109479,2023-01-13,W601,WS,0 days 12:11:29
19.18,1109480,2023-01-13,W602,WS,0 days 12:14:36
19.45,1109623,2023-01-14,W601,WS,0 days 11:19:53
19.16,1109624,2023-01-14,W602,WS,0 days 11:22:12
19.25,1109625,2023-01-14,W603,WS,0 days 11:23:36
20.46,1109626,2023-01-14,W600,WS,0 days 11:24:54
18.97,1109770,2023-01-15,W601,WS,0 days 11:45:53
20.09,1109771,2023-01-15,W600,WS,0 days 11:47:24
18.59,1109772,2023-01-15,W602,WS,0 days 11:48:51
18.85,1109773,2023-01-15,W603,WS,0 days 11:50:30
18.88,1109908,2023-01-16,W603,WS,0 days 11:19:34
19.89,1109909,2023-01-16,W600,WS,0 days 11:21:19
19.01,1109910,2023-01-16,W601,WS,0 days 11:23:35
18.81,1109911,2023-01-16,W602,WS,0 days 11:25:32
18.47,1110060,2023-01-17,W602,WS,0 days 12:28:10
18.48,1110061,2023-01-17,W601,WS,0 days 12:29:49
19.51,1110062,2023-01-17,W600,WS,0 days 12:32:12
18.74,1110063,2023-01-17,W603,WS,0 days 12:33:38
18.54,1110210,2023-01-18,W601,WS,0 days 12:34:24
19.79,1110211,2023-01-18,W600,WS,0 days 12:36:14
18.40,1110212,2023-01-18,W602,WS,0 days 12:38:08
18.45,1110213,2023-01-18,W603,WS,0 days 12:39:47
18.34,1110355,2023-01-19,W601,WS,0 days 13:07:07
18.34,1110356,2023-01-19,W603,WS,0 days 13:09:07
19.28,1110358,2023-01-19,W600,WS,0 days 13:11:33
18.32,1110359,2023-01-19,W602,WS,0 days 13:13:04
18.98,1110497,2023-01-20,W601,WS,0 days 13:08:09
19.59,1110498,2023-01-20,W600,WS,0 days 13:09:11
18.65,1110499,2023-01-20,W603,WS,0 days 13:11:19
18.44,1110500,2023-01-20,W602,WS,0 days 13:12:38
,1110701,2023-01-21,W600,FW,0 days 23:52:13
,1110702,2023-01-21,W601,FW,0 days 23:52:13
,1110703,2023-01-21,W602,FW,0 days 23:52:13
,1110704,2023-01-21,W603,FW,0 days 23:52:13
,1110837,2023-01-22,W600,FW,0 days 23:52:58
,1110838,2023-01-22,W601,FW,0 days 23:52:58
