animal_id,fix_experiment,days,date,failure_rate
R040,V1,13,2024-08-14,0.2169811320754717
R040,V1,13,2024-08-15,0.2
R040,V1,13,2024-08-16,0.26101694915254237
R040,V1,13,2024-08-17,0.1833810888252149
R040,V1,13,2024-08-18,0.16231884057971013
R040,V1,13,2024-08-19,0.1501416430594901
R040,V1,13,2024-08-20,0.14484679665738162
R040,V1,13,2024-08-21,0.13262599469496023
R040,V1,13,2024-08-22,0.12114014251781473
R040,V1,13,2024-08-23,0.12238805970149254
R041,V2,11,2024-08-11,0.34183673469387754
R041,V2,11,2024-08-12,0.2550335570469799
R041,V2,11,2024-08-13,0.26903553299492383
R041,V2,11,2024-08-14,0.18571428571428572
R041,V2,11,2024-08-15,0.21232876712328766
R041,V2,11,2024-08-16,0.11386138613861387
R041,V2,11,2024-08-17,0.23148148148148148
R041,V2,11,2024-08-18,0.22522522522522523
R041,V2,11,2024-08-19,0.22488038277511962
R041,V2,11,2024-08-20,0.2018348623853211
R042,V1,12,2024-08-11,0.19444444444444445
R042,V1,12,2024-08-12,0.17922077922077922
R042,V1,12,2024-08-13,0.08839779005524862
R042,V1,12,2024-08-14,0.1449814126394052
R042,V1,12,2024-08-15,0.1782178217821782
R042,V1,12,2024-08-16,0.14173228346456693
R042,V1,12,2024-08-17,0.08418367346938775
R042,V1,12,2024-08-18,0.0675
R042,V1,12,2024-08-19,0.08
R042,V1,12,2024-08-20,0.03316326530612245
R043,V2,6,2024-08-07,0.14673913043478262
R043,V2,6,2024-08-08,0.10501193317422435
R043,V2,6,2024-08-09,0.08184143222506395
R043,V2,6,2024-08-10,0.045146726862302484
R043,V2,6,2024-08-11,0.04308390022675737
R043,V2,6,2024-08-12,0.05084745762711865
R043,V2,6,2024-08-13,0.06415929203539823
R043,V2,6,2024-08-14,0.07565011820330969
R043,V2,6,2024-08-15,0.04656319290465632
R043,V2,6,2024-08-16,0.02806122448979592
R045,V2,11,2024-08-11,0.18157181571815717
R045,V2,11,2024-08-12,0.18095238095238095
