animal_id,fix_experiment,stage,date,hits
R040,V1,5.0,2024-08-01,0.9846153846153847
R040,V1,6.0,2024-08-02,0.980327868852459
R040,V1,7.0,2024-08-03,0.9887640449438202
R040,V1,7.0,2024-08-04,0.9749303621169917
R040,V1,7.0,2024-08-05,0.9901315789473685
R040,V1,7.0,2024-08-06,0.9617834394904459
R040,V1,7.0,2024-08-07,0.9506172839506173
R040,V1,7.0,2024-08-08,0.9726443768996961
R040,V1,7.0,2024-08-09,0.9928825622775801
R040,V1,7.0,2024-08-10,0.986159169550173
R040,V1,7.0,2024-08-11,0.9924242424242424
R040,V1,7.0,2024-08-12,1.0
R040,V1,7.0,2024-08-13,0.9959016393442623
R041,V2,5.0,2024-07-30,1.0
R041,V2,5.0,2024-07-31,0.981651376146789
R041,V2,6.0,2024-08-01,0.9683544303797469
R041,V2,6.0,2024-08-02,0.9856115107913669
R041,V2,6.0,2024-08-03,0.9825581395348837
R041,V2,6.0,2024-08-04,1.0
R041,V2,7.0,2024-08-05,0.968421052631579
R041,V2,7.0,2024-08-06,0.9939024390243902
R041,V2,7.0,2024-08-07,0.9733333333333334
R041,V2,7.0,2024-08-08,1.0
R041,V2,7.0,2024-08-09,0.9842105263157894
R041,V2,8.0,2024-08-10,0.994413407821229
R042,V1,5.0,2024-07-30,0.9571428571428572
R042,V1,6.0,2024-07-31,0.9806451612903225
R042,V1,7.0,2024-08-01,0.969187675070028
R042,V1,7.0,2024-08-02,0.9804560260586319
R042,V1,7.0,2024-08-03,0.9558441558441558
R042,V1,7.0,2024-08-04,0.9567307692307693
R042,V1,7.0,2024-08-05,0.9187817258883249
R042,V1,7.0,2024-08-06,0.9509536784741145
R042,V1,7.0,2024-08-07,0.974169741697417
R042,V1,7.0,2024-08-08,0.9626865671641791
R042,V1,7.0,2024-08-09,0.9675324675324676
R042,V1,7.0,2024-08-10,0.9811912225705329
R043,V2,5.0,2024-07-30,0.9689922480620154
R043,V2,6.0,2024-07-31,0.9598930481283422
R043,V2,7.0,2024-08-01,0.9748110831234257
R043,V2,7.0,2024-08-02,0.9830985915492958
R043,V2,7.0,2024-08-03,0.962877030162413
R043,V2,7.0,2024-08-04,0.9804469273743017
R043,V2,7.0,2024-08-05,0.9513274336283186
R043,V2,8.0,2024-08-06,0.9772079772079773
R044,V1,5.0,2024-08-01,1.0
R044,V1,5.0,2024-08-02,1.0
R044,V1,5.0,2024-08-03,1.0
R044,V1,5.0,2024-08-04,1.0
R044,V1,5.0,2024-08-05,1.0
R044,V1,5.0,2024-08-09,1.0
R044,V1,5.0,2024-08-10,1.0
R044,V1,5.0,2024-08-11,0.6666666666666666
R044,V1,5.0,2024-08-12,0.0
