animal_id,fix_experiment,stage,date,trial
R040,V1,5.0,2024-08-01,440
R040,V1,6.0,2024-08-02,362
R040,V1,7.0,2024-08-03,421
R040,V1,7.0,2024-08-04,459
R040,V1,7.0,2024-08-05,379
R040,V1,7.0,2024-08-06,385
R040,V1,7.0,2024-08-07,312
R040,V1,7.0,2024-08-08,410
R040,V1,7.0,2024-08-09,353
R040,V1,7.0,2024-08-10,389
R040,V1,7.0,2024-08-11,368
R040,V1,7.0,2024-08-12,320
R040,V1,7.0,2024-08-13,324
R041,V2,5.0,2024-07-30,5
R041,V2,5.0,2024-07-31,218
R041,V2,6.0,2024-08-01,158
R041,V2,6.0,2024-08-02,140
R041,V2,6.0,2024-08-03,172
R041,V2,6.0,2024-08-04,182
R041,V2,7.0,2024-08-05,190
R041,V2,7.0,2024-08-06,165
R041,V2,7.0,2024-08-07,151
R041,V2,7.0,2024-08-08,198
R041,V2,7.0,2024-08-09,191
R041,V2,8.0,2024-08-10,224
R042,V1,5.0,2024-07-30,580
R042,V1,6.0,2024-07-31,456
R042,V1,7.0,2024-08-01,497
R042,V1,7.0,2024-08-02,419
R042,V1,7.0,2024-08-03,466
R042,V1,7.0,2024-08-04,511
R042,V1,7.0,2024-08-05,496
R042,V1,7.0,2024-08-06,430
R042,V1,7.0,2024-08-07,365
R042,V1,7.0,2024-08-08,360
R042,V1,7.0,2024-08-09,380
R042,V1,7.0,2024-08-10,400
R043,V2,5.0,2024-07-30,519
R043,V2,6.0,2024-07-31,374
R043,V2,7.0,2024-08-01,398
R043,V2,7.0,2024-08-02,355
R043,V2,7.0,2024-08-03,431
R043,V2,7.0,2024-08-04,361
R043,V2,7.0,2024-08-05,209
R043,V2,8.0,2024-08-06,417
R044,V1,5.0,2024-08-01,6
R044,V1,5.0,2024-08-02,2
R044,V1,5.0,2024-08-03,4
R044,V1,5.0,2024-08-04,8
R044,V1,5.0,2024-08-05,7
R044,V1,5.0,2024-08-09,6
R044,V1,5.0,2024-08-10,4
R044,V1,5.0,2024-08-11,3
R044,V1,5.0,2024-08-12,10
R044,V1,5.0,2024-08-13,48
R044,V1,5.0,2024-08-14,108
R044,V1,5.0,2024-08-16,255
R044,V1,5.0,2024-08-17,257
R044,V1,6.0,2024-08-18,611
R045,V2,5.0,2024-07-30,355
R045,V2,6.0,2024-07-31,241
R045,V2,6.0,2024-08-01,299
R045,V2,7.0,2024-08-02,242
R045,V2,7.0,2024-08-03,364
R045,V2,7.0,2024-08-04,347
R045,V2,7.0,2024-08-05,321
R045,V2,7.0,2024-08-06,275
R045,V2,7.0,2024-08-07,221
R045,V2,7.0,2024-08-08,287
R045,V2,7.0,2024-08-09,262
R045,V2,8.0,2024-08-10,392
R046,V1,5.0,2024-07-30,355
R046,V1,6.0,2024-07-31,329
R046,V1,7.0,2024-08-01,306
R046,V1,7.0,2024-08-02,327
R046,V1,7.0,2024-08-03,431
R046,V1,7.0,2024-08-04,349
R046,V1,7.0,2024-08-05,263
R046,V1,7.0,2024-08-06,289
R046,V1,7.0,2024-08-07,311
R046,V1,7.0,2024-08-08,436
R046,V1,7.0,2024-08-09,299
R046,V1,7.0,2024-08-10,275
R046,V1,7.0,2024-08-11,248
R047,V2,5.0,2024-08-01,202
R047,V2,6.0,2024-08-02,262
R047,V2,7.0,2024-08-03,298
R047,V2,7.0,2024-08-04,106
R047,V2,7.0,2024-08-05,302
R047,V2,7.0,2024-08-06,166
R047,V2,7.0,2024-08-08,459
R047,V2,7.0,2024-08-09,254
R047,V2,7.0,2024-08-10,303
R047,V2,7.0,2024-08-12,306
R047,V2,7.0,2024-08-13,246
R047,V2,7.0,2024-08-17,359
R047,V2,7.0,2024-08-18,409
R047,V2,7.0,2024-08-19,380
R047,V2,7.0,2024-08-20,2
R047,V2,7.0,2024-08-21,333
R047,V2,7.0,2024-08-22,347
R047,V2,7.0,2024-08-23,275
R047,V2,7.0,2024-08-24,276
R047,V2,7.0,2024-08-25,329
R047,V2,7.0,2024-08-26,281
R047,V2,7.0,2024-08-27,263
R047,V2,8.0,2024-08-28,344
R048,V1,5.0,2024-08-04,465
R048,V1,6.0,2024-08-05,420
R048,V1,7.0,2024-08-06,390
R048,V1,7.0,2024-08-07,331
R048,V1,7.0,2024-08-08,522
R048,V1,7.0,2024-08-09,423
R048,V1,7.0,2024-08-10,447
