animal_id,fix_experiment,stage,date,trial
R040,V1,9.0,2024-08-14,212
R040,V1,9.0,2024-08-15,330
R040,V1,9.0,2024-08-16,295
R040,V1,9.0,2024-08-17,349
R040,V1,9.0,2024-08-18,345
R040,V1,10.0,2024-08-19,365
R040,V1,10.0,2024-08-20,359
R040,V1,10.0,2024-08-21,377
R040,V1,10.0,2024-08-22,421
R040,V1,10.0,2024-08-23,335
R041,V2,9.0,2024-08-11,196
R041,V2,9.0,2024-08-12,149
R041,V2,9.0,2024-08-13,197
R041,V2,9.0,2024-08-14,211
R041,V2,9.0,2024-08-15,146
R041,V2,10.0,2024-08-16,202
R041,V2,10.0,2024-08-17,217
R041,V2,10.0,2024-08-18,222
R041,V2,10.0,2024-08-19,209
R041,V2,10.0,2024-08-20,218
R042,V1,9.0,2024-08-11,432
R042,V1,9.0,2024-08-12,385
R042,V1,9.0,2024-08-13,362
R042,V1,9.0,2024-08-14,269
R042,V1,9.0,2024-08-15,202
R042,V1,10.0,2024-08-16,382
R042,V1,10.0,2024-08-17,393
R042,V1,10.0,2024-08-18,401
R042,V1,10.0,2024-08-19,401
R042,V1,10.0,2024-08-20,392
R043,V2,9.0,2024-08-07,368
R043,V2,9.0,2024-08-08,419
R043,V2,9.0,2024-08-09,392
R043,V2,9.0,2024-08-10,447
R043,V2,9.0,2024-08-11,445
R043,V2,10.0,2024-08-12,413
R043,V2,10.0,2024-08-13,452
R043,V2,10.0,2024-08-14,424
R043,V2,10.0,2024-08-15,454
R043,V2,10.0,2024-08-16,398
R045,V2,9.0,2024-08-11,369
R045,V2,9.0,2024-08-12,315
R045,V2,9.0,2024-08-13,318
R045,V2,9.0,2024-08-14,269
R045,V2,9.0,2024-08-15,250
R045,V2,10.0,2024-08-16,291
R045,V2,10.0,2024-08-17,390
R045,V2,10.0,2024-08-18,400
R045,V2,10.0,2024-08-19,344
R045,V2,10.0,2024-08-20,326
R046,V1,9.0,2024-08-13,257
R046,V1,9.0,2024-08-14,290
R046,V1,9.0,2024-08-15,259
R046,V1,9.0,2024-08-16,260
R046,V1,9.0,2024-08-17,262
R046,V1,10.0,2024-08-18,328
R046,V1,10.0,2024-08-19,254
R046,V1,10.0,2024-08-20,258
R046,V1,10.0,2024-08-21,253
R046,V1,10.0,2024-08-22,248
R047,V2,9.0,2024-08-29,301
R047,V2,9.0,2024-08-30,346
R047,V2,9.0,2024-09-04,280
R047,V2,9.0,2024-09-05,351
R047,V2,9.0,2024-09-06,308
R047,V2,10.0,2024-09-07,420
R047,V2,10.0,2024-09-08,420
R047,V2,10.0,2024-09-11,442
R047,V2,10.0,2024-09-12,381
R047,V2,10.0,2024-09-13,325
R048,V1,9.0,2024-09-16,327
R048,V1,9.0,2024-09-17,370
R048,V1,9.0,2024-09-18,251
R048,V1,9.0,2024-09-19,283
R048,V1,9.0,2024-09-20,286
R048,V1,10.0,2024-09-21,441
R048,V1,10.0,2024-09-22,393
R048,V1,10.0,2024-09-23,426
R048,V1,10.0,2024-09-24,359
R048,V1,10.0,2024-09-25,310
R049,V2,9.0,2024-08-19,372
R049,V2,9.0,2024-08-20,302
R049,V2,9.0,2024-08-21,305
R049,V2,9.0,2024-08-22,249
