,trial,animal_id,date,sess_id,result,hits,violations,temperror,hit_rate,error_rate,violation_rate,temp_error_rate,n_lpokes,n_cpokes,n_rpokes,trial_dur,trial_start,valid_early_spoke,first_spoke,first_lpoke,first_rpoke,n_settling_ins,avg_settling_in,cpoke_dur,stage,curriculum,sides,SMA_set,is_match,sa,sb,stimuli_on,settling_in_dur,legal_cbreak_dur,pre_dur,adj_pre_dur,stimulus_dur,delay_dur,post_dur,sb_extra_dur,viol_off_dur,pre_go_dur,inter_trial_dur,go_type,go_dur,give_type_set,give_type_imp,give_frac,give_delay_dur,give_xtra_light_delay_dur,give_use,replay_on,timeouts,water_delivered,give_water_not_drunk,crash_hist,was_block_swtich,volume_multiplier,l_water_vol,r_water_vol,ab_l_prob,ab_r_prob,ab_beta,ab_tau,exp_del_tau,exp_del_min,exp_del_max,sound_pair,min_time_to_spoke
0,1,R015,2023-08-04,924420,1,1,0,0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,24.44290000000001,,False,l,2.5246000000000777,,2.0,0.1675000000000182,0.7068000000000438,9.0,JB_r_classic,l,cpoke,True,3.0,3.0,True,0.25,0.05,0.25,0.001,0.03,1.5,0.45,0.0,0.45,2.2600000000000002,2.4564828621976664,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 3.0",2.5246000000000777
1,2,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.0,0.0,4.0,1.0,8.0,12.835699999999974,660.290304,False,n,,,1.0,,0.3129999999999882,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.2600000000000002,2.2600000000000002,1.2495671599195375,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",
2,3,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.5,0.0,4.0,6.0,1.0,92.73910000000001,698.580604,False,n,,,4.0,0.03593333333329459,0.4855999999999767,9.0,JB_r_classic,l,cpoke,True,12.0,12.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,2.0109893328549493,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 12.0",
3,4,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.67,0.0,0.0,4.0,0.0,78.08680000000004,723.992604,False,n,,,3.0,0.027300000000025193,0.38620000000003074,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,2.0974558498468743,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",
4,5,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.75,0.0,0.0,2.0,0.0,4.689600000000041,828.303304,False,n,,,1.0,,0.3691000000000031,9.0,JB_r_classic,r,cpoke,False,3.0,12.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,1.7418943818321397,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 12.0",
5,6,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.8,0.0,0.0,1.0,32.0,37.736999999999966,918.312704,False,r,,3.855099999999993,1.0,,2.5086000000000013,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,3.0304337168794335,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",3.855099999999993
6,7,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.67,0.0,0.0,4.0,0.0,26.178199999999947,935.406104,False,n,,,1.0,,0.620200000000068,9.0,JB_r_classic,l,cpoke,True,3.0,3.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,1.888423747498522,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 3.0",
7,8,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.71,0.0,0.0,3.0,0.0,10.251900000000091,983.816804,False,n,,,2.0,0.026399999999966894,0.3792000000000826,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,1.9078067801391878,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",
8,9,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.75,0.0,0.0,2.0,36.0,22.746900000000096,1021.687104,False,r,,3.384900000000016,1.0,,2.432199999999966,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,2.532665147633889,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",3.384900000000016
9,10,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.67,0.0,0.0,1.0,0.0,3.501700000000028,1043.048204,False,n,,,1.0,,1.9483999999999924,9.0,JB_r_classic,r,cpoke,False,3.0,12.0,True,0.25,0.05,0.25,0.001,0.0315,1.497,0.25,0.0,2.06,2.06,1.4022124008707935,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 12.0",
