trial,animal_id,date,sess_id,result,hits,violations,temperror,hit_rate,error_rate,violation_rate,temp_error_rate,n_lpokes,n_cpokes,n_rpokes,trial_dur,valid_early_spoke,first_spoke,first_lpoke,first_rpoke,stage,sides,SMA_set,is_match,sa,sb,stimuli_on,settling_in_dur,legal_cbreak_dur,pre_dur,adj_pre_dur,stimulus_dur,delay_dur,post_dur,sb_extra_dur,viol_off_dur,pre_go_dur,inter_trial_dur,go_type,go_dur,give_type_set,give_type_imp,give_frac,give_delay_dur,give_light_dur,give_use,replay_on,timeouts,water_delivered,give_water_not_drunk,crash_hist,l_water_vol,r_water_vol,ab_l_prob,ab_r_prob,ab_beta,ab_tau,exp_del_tau,exp_del_min,exp_del_max,sound_pair
1,R610,2023-05-15,915035,3,,1,,0.0,0.0,0.0,0.0,2.0,1.0,2.0,7.015600000000177,False,l,0.23529999999982465,,5.0,l,cpoke,True,12.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.4836038518539374,0.001,0.0,0.45,0.4876038518539374,5.87405085478357,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.5,0.5,4.0,30.0,0.5,0.4,0.9,"12.0, 12.0"
2,R610,2023-05-15,915035,3,,1,,,,1.0,,2.0,1.0,1.0,7.776699999999892,False,l,0.49909999999999854,,5.0,l,cpoke,True,12.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.6626974508040764,0.001,0.0,0.6666974508040764,0.6666974508040764,5.674696377570127,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.5,0.5,4.0,30.0,0.5,0.4,0.9,"12.0, 12.0"
3,R610,2023-05-15,915035,2,0,0,0,,,1.0,,1.0,4.0,4.0,10.34940000000006,False,r,,0.4252999999998792,5.0,l,cpoke,True,3.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.42035362494548806,0.001,0.0,0.42435362494548806,0.42435362494548806,5.544248909275882,none,0.2,light,light,1.0,0.001,0.0,True,True,0.3,0.0,True,False,6.0,6.0,0.5,0.5,4.0,30.0,0.5,0.4,0.9,"3.0, 3.0"
4,R610,2023-05-15,915035,3,,1,,0.0,1.0,0.67,0.0,1.0,1.0,0.0,14.107100000000173,False,l,0.6975999999999658,,5.0,l,cpoke,True,12.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.7000555673942275,0.001,0.0,0.7040555673942275,0.7040555673942275,5.949302687243398,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.5,0.5,4.0,30.0,0.5,0.4,0.9,"12.0, 12.0"
5,R610,2023-05-15,915035,3,,1,,0.0,1.0,0.75,0.0,0.0,1.0,2.0,6.443000000000211,False,r,,0.2798999999999978,5.0,l,cpoke,True,12.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.728664191625938,0.001,0.0,0.732664191625938,0.732664191625938,5.249093834111785,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.5,0.5,4.0,30.0,0.5,0.4,0.9,"12.0, 12.0"
6,R610,2023-05-15,915035,2,0,0,0,0.0,1.0,0.8,0.0,2.0,3.0,1.0,11.177999999999884,False,l,0.5491000000001804,,5.0,r,cpoke,False,3.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.4391285312068009,0.001,0.0,0.4431285312068009,0.4431285312068009,5.7106056667119045,none,0.2,light,light,1.0,0.001,0.0,True,True,0.3,0.0,True,False,6.0,6.0,0.5,0.5,4.0,30.0,0.5,0.4,0.9,"3.0, 12.0"
7,R610,2023-05-15,915035,3,,1,,0.0,1.0,0.67,0.0,0.0,2.0,3.0,12.435599999999795,False,r,,0.3552999999997155,5.0,r,cpoke,False,12.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.42032272869790216,0.001,0.0,0.42432272869790216,0.42432272869790216,6.612404084227654,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.5,0.5,4.0,30.0,0.5,0.4,0.9,"12.0, 3.0"
8,R610,2023-05-15,915035,3,,1,,0.0,1.0,0.71,0.0,0.0,3.0,2.0,6.991899999999987,False,r,,0.3249000000000706,5.0,l,cpoke,True,3.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.7221978445814603,0.001,0.0,0.7261978445814603,0.7261978445814603,5.3532723363051655,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.5,0.5,4.0,30.0,0.5,0.4,0.9,"3.0, 3.0"
9,R610,2023-05-15,915035,3,,1,,0.0,1.0,0.75,0.0,0.0,1.0,4.0,6.277399999999943,False,r,,0.48070000000006985,5.0,r,cpoke,False,12.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.891178871313784,0.001,0.0,0.895178871313784,0.895178871313784,5.082278771697371,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.5,0.5,4.0,30.0,0.5,0.4,0.9,"12.0, 3.0"
10,R610,2023-05-15,915035,2,0,0,0,0.0,1.0,0.78,0.0,1.0,1.0,2.0,8.128799999999956,False,r,,0.5115000000000691,5.0,l,cpoke,True,12.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.44038638741476555,0.001,0.0,0.44438638741476555,0.44438638741476555,6.367525870211455,none,0.2,light,light,1.0,0.001,0.0,True,True,0.3,0.0,True,False,6.0,6.0,0.5,0.5,4.0,30.0,0.5,0.4,0.9,"12.0, 12.0"
11,R610,2023-05-15,915035,2,0,0,0,0.0,1.0,0.7,0.0,1.0,3.0,1.0,11.652300000000196,False,l,0.824699999999666,,5.0,r,cpoke,False,12.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.47926741872233614,0.001,0.0,0.48326741872233614,0.48326741872233614,5.5298819097936835,none,0.2,light,light,1.0,0.001,0.0,True,True,0.3,0.0,True,False,6.0,6.0,0.5,0.5,4.0,30.0,0.5,0.4,0.9,"12.0, 3.0"
